,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C4C80","C4C80","C4C80","C4C90","C4C90","C4C90","C4C60","C4C60","C4C60","C4CC0","C4CC0","C4CC0","C4CE0","C4CE0","C4CE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
519,4.325000,-37.010849,-10.866015,48.252140,-0.503563,0.129696,-0.622565,0.000226,-0.050755,-0.056242,-0.037863,0.825876,0.042138,0.044624,0.027206,0.823663,0.008617,0.011618,0.010657,0.964801,-0.487954,0.048610,-0.605827,-0.514256,0.193460,-0.638737,-0.508423,0.147111,-0.623151,,,,,,
520,4.333333,-37.712997,-5.287860,50.343742,-0.501405,0.129259,-0.620118,0.000237,-0.050755,-0.056242,-0.037863,0.825876,0.042138,0.044624,0.027206,0.823663,0.008617,0.011618,0.010657,0.964801,-0.486510,0.048196,-0.603422,-0.511678,0.193270,-0.636384,-0.505969,0.146408,-0.620566,,,,,,
521,4.341667,-37.991035,-9.235917,48.712475,-0.498289,0.127055,-0.616320,0.000212,-0.050755,-0.056242,-0.037863,0.806960,0.042138,0.044624,0.027206,0.867630,0.008617,0.011618,0.010657,0.962394,-0.483084,0.046213,-0.598469,-0.508667,0.190806,-0.633383,-0.503062,0.144235,-0.617127,,,,,,
522,4.350000,-39.359573,-9.447152,49.482059,-0.494214,0.123577,-0.611648,0.000154,-0.050755,-0.056242,-0.037863,0.806960,0.042138,0.044624,0.027206,0.867630,0.008617,0.011618,0.010657,0.962394,-0.478019,0.043218,-0.591747,-0.505438,0.186717,-0.630352,-0.499144,0.140862,-0.612860,,,,,,
523,4.358333,-40.143002,-13.265631,48.772160,-0.489670,0.119717,-0.606909,0.000178,-0.050755,-0.056242,-0.037863,0.855856,0.042138,0.044624,0.027206,0.871037,0.008617,0.011618,0.010657,0.987708,-0.472024,0.040201,-0.585127,-0.501888,0.182269,-0.626963,-0.495051,0.136757,-0.608655,,,,,,
524,4.366667,-40.695824,-15.165839,48.805603,-0.485482,0.115394,-0.602778,0.000212,-0.050755,-0.056242,-0.037863,0.855856,0.042138,0.044624,0.027206,0.871037,0.008617,0.011618,0.010657,0.987708,-0.466599,0.036499,-0.579803,-0.498613,0.177298,-0.623749,-0.491186,0.132467,-0.604800,,,,,,
525,4.375000,-41.139332,-15.647154,49.293125,-0.481801,0.110983,-0.599256,0.000204,-0.050755,-0.056242,-0.037863,0.837823,0.042138,0.044624,0.027206,0.828148,0.008617,0.011618,0.010657,0.964207,-0.462013,0.032583,-0.575470,-0.495664,0.172537,-0.620842,-0.487672,0.127917,-0.601477,,,,,,
526,4.383333,-40.154541,-27.415285,44.923122,-0.479392,0.110023,-0.598000,0.000586,-0.050755,-0.056242,-0.037863,0.443913,0.042138,0.044624,0.027206,0.952223,0.008617,0.011618,0.010657,0.553046,-0.459882,0.029875,-0.573123,-0.493258,0.172104,-0.619742,-0.485164,0.127876,-0.601087,,,,,,
527,4.391667,-40.580421,-10.852334,52.390533,-0.480653,0.112580,-0.597867,0.001113,-0.050755,-0.056242,-0.037863,0.443913,0.042138,0.044624,0.027206,0.952223,0.008617,0.011618,0.010657,0.553046,-0.461639,0.032091,-0.575052,-0.494140,0.177185,-0.618522,-0.486358,0.128167,-0.599957,,,,,,
528,4.400000,-45.532486,11.662687,61.675549,-0.479594,0.112147,-0.597112,0.000249,-0.050755,-0.056242,-0.037863,0.942140,0.042138,0.044624,0.027206,0.839853,0.008617,0.011618,0.010657,0.778991,-0.462206,0.032207,-0.575794,-0.492585,0.175244,-0.617424,-0.483998,0.128981,-0.598115,,,,,,
529,4.408333,-38.793095,-31.786045,40.657097,-0.477978,0.111789,-0.595245,0.000279,-0.050755,-0.056242,-0.037863,0.942140,0.042138,0.044624,0.027206,0.839853,0.008617,0.011618,0.010657,0.778991,-0.460316,0.031172,-0.573421,-0.489790,0.175273,-0.614471,-0.483891,0.128816,-0.597820,,,,,,
530,4.416667,-42.947418,3.999594,57.577217,-0.477280,0.112667,-0.595488,0.000626,-0.050755,-0.056242,-0.037863,0.683049,0.042138,0.044624,0.027206,0.520457,0.008617,0.011618,0.010657,0.752142,-0.460518,0.031644,-0.574041,-0.489337,0.177003,-0.615494,-0.482100,0.129162,-0.596885,,,,,,
531,4.425000,-40.406284,-6.463170,51.425289,-0.477338,0.112092,-0.595118,0.000291,-0.050755,-0.056242,-0.037863,0.683049,0.042138,0.044624,0.027206,0.520457,0.008617,0.011618,0.010657,0.752142,-0.460954,0.031669,-0.574161,-0.488716,0.175799,-0.614641,-0.482360,0.128780,-0.596543,,,,,,
532,4.433333,-43.198040,1.519029,55.479618,-0.475109,0.111241,-0.592396,0.000289,-0.050755,-0.056242,-0.037863,0.784012,0.042138,0.044624,0.027206,0.975252,0.008617,0.011618,0.010657,0.788971,-0.458035,0.031979,-0.570015,-0.487262,0.173920,-0.613347,-0.479987,0.127897,-0.593843,,,,,,
533,4.441667,-41.601757,-21.202421,47.827572,-0.471707,0.110031,-0.588293,0.000436,-0.050755,-0.056242,-0.037863,0.784012,0.042138,0.044624,0.027206,0.975252,0.008617,0.011618,0.010657,0.788971,-0.451776,0.031155,-0.562266,-0.485698,0.172278,-0.611346,-0.477732,0.126516,-0.591232,,,,,,
534,4.450000,-41.691387,-25.482483,46.678478,-0.470829,0.109760,-0.587058,0.000416,-0.050755,-0.056242,-0.037863,0.623951,0.042138,0.044624,0.027206,0.796213,0.008617,0.011618,0.010657,0.849760,-0.449998,0.031280,-0.560043,-0.485423,0.171571,-0.610746,-0.477169,0.126259,-0.590342,,,,,,
535,4.458333,-45.140064,-2.989217,56.236515,-0.471850,0.109478,-0.587863,0.000405,-0.050755,-0.056242,-0.037863,0.623951,0.042138,0.044624,0.027206,0.796213,0.008617,0.011618,0.010657,0.849760,-0.451409,0.031662,-0.561670,-0.486660,0.171123,-0.611547,-0.477492,0.125626,-0.590366,,,,,,
536,4.466667,-43.034580,-16.617647,51.047054,-0.471887,0.108937,-0.588013,0.000421,-0.050755,-0.056242,-0.037863,0.684742,0.042138,0.044624,0.027206,0.769933,0.008617,0.011618,0.010657,0.899800,-0.450540,0.030886,-0.560665,-0.487162,0.170417,-0.612298,-0.478051,0.125357,-0.591038,,,,,,
537,4.475000,-45.514675,-8.299063,55.409119,-0.472472,0.108196,-0.588262,0.000467,-0.050755,-0.056242,-0.037863,0.684742,0.042138,0.044624,0.027206,0.769933,0.008617,0.011618,0.010657,0.899800,-0.449995,0.031462,-0.559975,-0.488717,0.169051,-0.613548,-0.478747,0.124006,-0.591244,,,,,,
538,4.483333,-51.055496,3.569862,62.496872,-0.471390,0.106078,-0.586822,0.000353,-0.050755,-0.056242,-0.037863,0.873510,0.042138,0.044624,0.027206,0.837757,0.008617,0.011618,0.010657,0.716275,-0.447082,0.031209,-0.556447,-0.489436,0.165167,-0.614110,-0.477641,0.121876,-0.589912,,,,,,
539,4.491667,-45.390038,-28.017252,50.982056,-0.469683,0.104183,-0.584566,0.000280,-0.050755,-0.056242,-0.037863,0.873510,0.042138,0.044624,0.027206,0.837757,0.008617,0.011618,0.010657,0.716275,-0.442115,0.030968,-0.550617,-0.489545,0.161587,-0.613772,-0.477461,0.119882,-0.589279,,,,,,
540,4.500000,-48.629642,-18.616190,55.977207,-0.469748,0.102817,-0.584298,0.000193,-0.050755,-0.056242,-0.037863,0.975509,0.042138,0.044624,0.027206,0.943226,0.008617,0.011618,0.010657,0.928883,-0.440485,0.031675,-0.548946,-0.491181,0.158761,-0.615038,-0.477578,0.118009,-0.588907,,,,,,
541,4.508333,-48.342136,-24.024246,55.046139,-0.470509,0.100794,-0.584898,0.000165,-0.050755,-0.056242,-0.037863,0.975036,0.042138,0.044624,0.027206,0.899074,0.008617,0.011618,0.010657,0.870062,-0.439595,0.030980,-0.548098,-0.493161,0.155211,-0.616530,-0.478760,0.116204,-0.590070,,,,,,
542,4.516667,-49.659081,-21.632046,57.409279,-0.472535,0.099990,-0.586750,0.000271,-0.050755,-0.056242,-0.037863,0.975036,0.042138,0.044624,0.027206,0.899074,0.008617,0.011618,0.010657,0.870062,-0.440291,0.031122,-0.548885,-0.496343,0.154081,-0.619430,-0.481023,0.114692,-0.591911,,,,,,
543,4.525000,-54.429768,-10.078399,62.960308,-0.474580,0.098566,-0.588725,0.000276,-0.050755,-0.056242,-0.037863,0.954028,0.042138,0.044624,0.027206,0.892372,0.008617,0.011618,0.010657,0.846406,-0.441321,0.031101,-0.550092,-0.499512,0.151470,-0.622331,-0.482908,0.113126,-0.593751,,,,,,
544,4.533333,-51.523582,-21.942122,59.220322,-0.476118,0.096785,-0.589935,0.000130,-0.050755,-0.056242,-0.037863,0.954028,0.042138,0.044624,0.027206,0.892372,0.008617,0.011618,0.010657,0.846406,-0.441246,0.030802,-0.549923,-0.502001,0.148165,-0.624257,-0.485097,0.111403,-0.595630,,,,,,
545,4.541667,-52.380695,-22.642807,60.092335,-0.478056,0.095539,-0.591707,0.000155,-0.050755,-0.056242,-0.037863,0.929664,0.042138,0.044624,0.027206,0.941939,0.008617,0.011618,0.010657,0.966276,-0.441752,0.031288,-0.550554,-0.505007,0.145779,-0.627005,-0.487372,0.109598,-0.597576,,,,,,
546,4.550000,-55.137985,-18.012831,62.949394,-0.480386,0.093443,-0.593567,0.000176,-0.050755,-0.056242,-0.037863,0.929664,0.042138,0.044624,0.027206,0.941939,0.008617,0.011618,0.010657,0.966276,-0.442737,0.030777,-0.551508,-0.508525,0.142141,-0.629697,-0.489819,0.107508,-0.599527,,,,,,
547,4.558333,-54.865044,-21.840858,62.546188,-0.482290,0.091654,-0.595252,0.000367,-0.050755,-0.056242,-0.037863,0.766276,0.042138,0.044624,0.027206,0.777075,0.008617,0.011618,0.010657,0.952470,-0.443191,0.030897,-0.552119,-0.511399,0.138760,-0.632075,-0.492138,0.105478,-0.601614,,,,,,
548,4.566667,-55.408058,-23.294281,62.940281,-0.484125,0.090244,-0.596880,0.000395,-0.050755,-0.056242,-0.037863,0.766276,0.042138,0.044624,0.027206,0.777075,0.008617,0.011618,0.010657,0.952470,-0.443947,0.031081,-0.552706,-0.514020,0.136187,-0.634520,-0.494240,0.103662,-0.603475,,,,,,
549,4.575000,-55.906322,-24.211515,63.339577,-0.486188,0.088991,-0.598774,0.000555,-0.050755,-0.056242,-0.037863,0.710507,0.042138,0.044624,0.027206,0.710025,0.008617,0.011618,0.010657,0.914283,-0.445111,0.031096,-0.553833,-0.516659,0.133741,-0.636913,-0.496589,0.102372,-0.605647,,,,,,
550,4.583333,-57.856949,-21.133013,65.056992,-0.488515,0.087955,-0.600940,0.000487,-0.050755,-0.056242,-0.037863,0.710507,0.042138,0.044624,0.027206,0.710025,0.008617,0.011618,0.010657,0.914283,-0.446807,0.031061,-0.555566,-0.519634,0.132002,-0.639598,-0.498878,0.101057,-0.607730,,,,,,
551,4.591667,-58.641949,-21.274803,65.632645,-0.489909,0.086890,-0.602268,0.000614,-0.050755,-0.056242,-0.037863,0.697680,0.042138,0.044624,0.027206,0.716298,0.008617,0.011618,0.010657,0.916651,-0.447501,0.030991,-0.556167,-0.521479,0.129905,-0.641399,-0.500511,0.100033,-0.609314,,,,,,
552,4.600000,-57.984016,-24.030704,64.812943,-0.490938,0.086439,-0.603352,0.000772,-0.050755,-0.056242,-0.037863,0.697680,0.042138,0.044624,0.027206,0.716298,0.008617,0.011618,0.010657,0.916651,-0.448224,0.031478,-0.556846,-0.522575,0.128792,-0.642691,-0.501704,0.099385,-0.610618,,,,,,
553,4.608333,-59.344265,-21.160751,65.738914,-0.491883,0.086207,-0.604465,0.000679,-0.050755,-0.056242,-0.037863,0.588526,0.042138,0.044624,0.027206,0.698473,0.008617,0.011618,0.010657,0.929152,-0.449287,0.031248,-0.557948,-0.523472,0.128675,-0.644037,-0.502583,0.099031,-0.611505,,,,,,
554,4.616667,-59.846977,-20.242199,65.985283,-0.492227,0.086094,-0.604885,0.000841,-0.050755,-0.056242,-0.037863,0.588526,0.042138,0.044624,0.027206,0.698473,0.008617,0.011618,0.010657,0.929152,-0.449647,0.031276,-0.558378,-0.523741,0.128269,-0.644411,-0.502946,0.099115,-0.611976,,,,,,
555,4.625000,-58.485653,-22.592257,64.776680,-0.492232,0.086702,-0.605093,0.000781,-0.050755,-0.056242,-0.037863,0.541343,0.042138,0.044624,0.027206,0.633594,0.008617,0.011618,0.010657,0.923979,-0.450022,0.031449,-0.558746,-0.523428,0.129378,-0.644434,-0.502912,0.099649,-0.612207,,,,,,
556,4.633333,-58.764874,-20.405712,64.779228,-0.491626,0.087386,-0.604860,0.000674,-0.050755,-0.056242,-0.037863,0.576583,0.042138,0.044624,0.027206,0.674827,0.008617,0.011618,0.010657,0.929092,-0.450347,0.030900,-0.558960,-0.522227,0.130991,-0.643934,-0.502018,0.100590,-0.611783,,,,,,
557,4.641667,-57.704453,-21.148270,63.608475,-0.490338,0.088540,-0.603974,0.000740,-0.050755,-0.056242,-0.037863,0.576583,0.042138,0.044624,0.027206,0.674827,0.008617,0.011618,0.010657,0.929092,-0.449966,0.030961,-0.558659,-0.520187,0.132932,-0.642507,-0.500574,0.102062,-0.610855,,,,,,
558,4.650000,-57.030586,-19.788191,62.688145,-0.488533,0.090372,-0.602809,0.000657,-0.050755,-0.056242,-0.037863,0.559659,0.042138,0.044624,0.027206,0.634640,0.008617,0.011618,0.010657,0.926604,-0.449796,0.030881,-0.558483,-0.517199,0.136303,-0.640621,-0.498356,0.104237,-0.609415,,,,,,
559,4.658333,-54.216053,-23.753836,60.101166,-0.486454,0.092147,-0.600960,0.000462,-0.050755,-0.056242,-0.037863,0.559659,0.042138,0.044624,0.027206,0.634640,0.008617,0.011618,0.010657,0.926604,-0.449204,0.030454,-0.557658,-0.514010,0.139922,-0.637784,-0.495991,0.106264,-0.607501,,,,,,
560,4.666667,-55.086006,-17.897959,61.597168,-0.484444,0.094223,-0.599118,0.000225,-0.050755,-0.056242,-0.037863,0.841673,0.042138,0.044624,0.027206,0.841910,0.008617,0.011618,0.010657,0.962549,-0.448424,0.030723,-0.556950,-0.511382,0.143472,-0.635240,-0.493439,0.108586,-0.605199,,,,,,
561,4.675000,-52.183228,-21.591688,59.802200,-0.482892,0.096428,-0.597399,0.000459,-0.050755,-0.056242,-0.037863,0.841673,0.042138,0.044624,0.027206,0.841910,0.008617,0.011618,0.010657,0.962549,-0.447971,0.030592,-0.556514,-0.509014,0.148199,-0.632533,-0.491775,0.110379,-0.603116,,,,,,
562,4.683333,-55.559471,-8.708047,63.833595,-0.480965,0.097955,-0.595618,0.000338,-0.050755,-0.056242,-0.037863,0.884878,0.042138,0.044624,0.027206,0.820659,0.008617,0.011618,0.010657,0.888562,-0.447735,0.030497,-0.556157,-0.506083,0.150640,-0.629799,-0.489139,0.112643,-0.600873,,,,,,
563,4.691667,-50.726891,-19.438953,57.972534,-0.478795,0.099368,-0.593793,0.000345,-0.050755,-0.056242,-0.037863,0.884878,0.042138,0.044624,0.027206,0.820659,0.008617,0.011618,0.010657,0.888562,-0.447080,0.030466,-0.555373,-0.502440,0.153358,-0.626885,-0.486928,0.114185,-0.599092,,,,,,
564,4.700000,-51.314758,-14.276289,59.185368,-0.477146,0.100671,-0.592376,0.000485,-0.050755,-0.056242,-0.037863,0.776310,0.042138,0.044624,0.027206,0.748603,0.008617,0.011618,0.010657,0.869148,-0.446766,0.030456,-0.555039,-0.499801,0.155887,-0.624754,-0.484965,0.115534,-0.597294,,,,,,
565,4.708333,-51.414757,-10.542244,59.423008,-0.475509,0.101719,-0.590852,0.000283,-0.050755,-0.056242,-0.037863,0.776310,0.042138,0.044624,0.027206,0.748603,0.008617,0.011618,0.010657,0.869148,-0.446594,0.030557,-0.554826,-0.497018,0.157509,-0.622275,-0.482952,0.117035,-0.595439,,,,,,
566,4.716667,-49.042263,-15.131980,56.418068,-0.473509,0.103168,-0.589015,0.000331,-0.050755,-0.056242,-0.037863,0.862310,0.042138,0.044624,0.027206,0.837702,0.008617,0.011618,0.010657,0.902931,-0.445874,0.030807,-0.554142,-0.493827,0.160078,-0.619412,-0.480876,0.118542,-0.593467,,,,,,
567,4.725000,-49.082264,-10.591059,56.885799,-0.471587,0.104525,-0.587154,0.000214,-0.050755,-0.056242,-0.037863,0.862310,0.042138,0.044624,0.027206,0.837702,0.008617,0.011618,0.010657,0.902931,-0.445683,0.031091,-0.553787,-0.490572,0.162209,-0.616489,-0.478522,0.120248,-0.591178,,,,,,
568,4.733333,-46.555347,-15.854375,52.366280,-0.469190,0.105717,-0.584974,0.000202,-0.050755,-0.056242,-0.037863,0.842125,0.042138,0.044624,0.027206,0.838838,0.008617,0.011618,0.010657,0.970285,-0.445450,0.031198,-0.553510,-0.486250,0.164005,-0.612635,-0.475815,0.122036,-0.588802,,,,,,
569,4.741667,-45.034927,-16.818554,50.159302,-0.466824,0.107350,-0.582737,0.000266,-0.050755,-0.056242,-0.037863,0.842125,0.042138,0.044624,0.027206,0.838838,0.008617,0.011618,0.010657,0.970285,-0.445273,0.031318,-0.553258,-0.482095,0.166674,-0.608777,-0.473051,0.124145,-0.586200,,,,,,
570,4.750000,-42.146912,-25.028625,43.852077,-0.466061,0.110590,-0.582702,0.000383,-0.050755,-0.056242,-0.037863,0.924945,0.042138,0.044624,0.027206,0.738389,0.008617,0.011618,0.010657,0.779079,-0.447648,0.032232,-0.556678,-0.478549,0.171583,-0.605598,-0.471950,0.128018,-0.585847,,,,,,
571,4.758333,-39.909393,-8.531580,48.057278,-0.467197,0.116547,-0.584908,0.000154,-0.050755,-0.056242,-0.037863,0.953012,0.042138,0.044624,0.027206,0.896185,0.008617,0.011618,0.010657,0.928070,-0.453623,0.035598,-0.564452,-0.476429,0.179902,-0.604050,-0.471520,0.134173,-0.586231,,,,,,
572,4.766667,-38.542439,3.133485,51.399273,-0.467102,0.122632,-0.585513,0.000288,-0.050755,-0.056242,-0.037863,0.953012,0.042138,0.044624,0.027206,0.896185,0.008617,0.011618,0.010657,0.928070,-0.456547,0.040679,-0.569073,-0.474065,0.187636,-0.601703,-0.470669,0.139623,-0.585770,,,,,,
573,4.775000,-36.456879,-4.027028,47.097801,-0.464669,0.126544,-0.583449,0.000183,-0.050755,-0.056242,-0.037863,0.890023,0.042138,0.044624,0.027206,0.965367,0.008617,0.011618,0.010657,0.927951,-0.455120,0.044032,-0.568658,-0.470682,0.191715,-0.598171,-0.468179,0.143930,-0.583527,,,,,,
574,4.783333,-36.603012,-1.061785,48.741894,-0.460879,0.129116,-0.580058,0.000254,-0.050755,-0.056242,-0.037863,0.890023,0.042138,0.044624,0.027206,0.965367,0.008617,0.011618,0.010657,0.927951,-0.450971,0.046771,-0.565524,-0.467145,0.194420,-0.594678,-0.464491,0.146210,-0.579980,,,,,,
575,4.791667,-36.821575,-7.843671,46.718548,-0.455800,0.129843,-0.575334,0.000171,-0.050755,-0.056242,-0.037863,0.893451,0.042138,0.044624,0.027206,0.958872,0.008617,0.011618,0.010657,0.940746,-0.444294,0.047762,-0.559492,-0.463205,0.194668,-0.590811,-0.459877,0.147144,-0.575709,,,,,,
576,4.800000,-37.188633,-17.420080,43.221863,-0.450814,0.130170,-0.570683,0.000224,-0.050755,-0.056242,-0.037863,0.893451,0.042138,0.044624,0.027206,0.958872,0.008617,0.011618,0.010657,0.940746,-0.437762,0.048512,-0.553409,-0.459173,0.194251,-0.586982,-0.455477,0.147801,-0.571669,,,,,,
577,4.808333,-37.267338,-15.159519,44.538620,-0.447195,0.131184,-0.567346,0.000183,-0.050755,-0.056242,-0.037863,0.848835,0.042138,0.044624,0.027206,0.846275,0.008617,0.011618,0.010657,0.970702,-0.433774,0.049810,-0.550025,-0.455943,0.195283,-0.583734,-0.451821,0.148539,-0.568298,,,,,,
578,4.816667,-37.057091,-12.321239,45.682590,-0.444957,0.131561,-0.564828,0.000158,-0.050755,-0.056242,-0.037863,0.848835,0.042138,0.044624,0.027206,0.846275,0.008617,0.011618,0.010657,0.970702,-0.431890,0.049936,-0.548070,-0.453498,0.195841,-0.580904,-0.449445,0.148969,-0.565523,,,,,,
579,4.825000,-37.303116,-8.351418,47.208637,-0.442554,0.131330,-0.561848,0.000192,-0.050755,-0.056242,-0.037863,0.846108,0.042138,0.044624,0.027206,0.901456,0.008617,0.011618,0.010657,0.959725,-0.429967,0.049691,-0.545235,-0.450859,0.195729,-0.577920,-0.446795,0.148641,-0.562406,,,,,,
580,4.833333,-37.959053,-8.323099,47.449314,-0.439205,0.129805,-0.557683,0.000214,-0.050755,-0.056242,-0.037863,0.846108,0.042138,0.044624,0.027206,0.901456,0.008617,0.011618,0.010657,0.959725,-0.426363,0.048396,-0.540095,-0.447659,0.194143,-0.574516,-0.443558,0.146938,-0.558450,,,,,,
581,4.841667,-38.959335,-11.463451,46.818192,-0.435067,0.126690,-0.552595,0.000163,-0.050755,-0.056242,-0.037863,0.874667,0.042138,0.044624,0.027206,0.902730,0.008617,0.011618,0.010657,0.979262,-0.421096,0.045833,-0.533098,-0.444373,0.190369,-0.570853,-0.439699,0.143926,-0.553849,,,,,,
582,4.850000,-40.056458,-13.903072,46.639820,-0.430522,0.123036,-0.547289,0.000157,-0.050755,-0.056242,-0.037863,0.874667,0.042138,0.044624,0.027206,0.902730,0.008617,0.011618,0.010657,0.979262,-0.415311,0.042857,-0.525791,-0.440685,0.186180,-0.567071,-0.435539,0.140124,-0.549017,,,,,,
583,4.858333,-40.730602,-16.472523,46.229584,-0.426397,0.119003,-0.542463,0.000133,-0.050755,-0.056242,-0.037863,0.926567,0.042138,0.044624,0.027206,0.894351,0.008617,0.011618,0.010657,0.953043,-0.410216,0.039306,-0.519551,-0.437339,0.181610,-0.563246,-0.431608,0.136138,-0.544603,,,,,,
584,4.866667,-41.318283,-16.103125,46.952198,-0.422886,0.114490,-0.538247,0.000156,-0.050755,-0.056242,-0.037863,0.926567,0.042138,0.044624,0.027206,0.894351,0.008617,0.011618,0.010657,0.953043,-0.405902,0.035340,-0.514488,-0.434445,0.176696,-0.559740,-0.428271,0.131500,-0.540530,,,,,,
585,4.875000,-41.474163,-22.735647,44.293522,-0.419586,0.110248,-0.534531,0.000259,-0.050755,-0.056242,-0.037863,0.945665,0.042138,0.044624,0.027206,0.802252,0.008617,0.011618,0.010657,0.742845,-0.402373,0.030996,-0.509654,-0.431548,0.172031,-0.556468,-0.424825,0.127733,-0.537477,,,,,,
586,4.883333,-41.391628,-13.944577,49.295876,-0.418348,0.112364,-0.533875,0.001081,-0.050755,-0.056242,-0.037863,0.308272,0.042138,0.044624,0.027206,0.363931,0.008617,0.011618,0.010657,0.749131,-0.401800,0.031289,-0.509231,-0.429977,0.176893,-0.555843,-0.423465,0.128560,-0.536459,,,,,,
587,4.891667,-49.004261,20.601833,66.509895,-0.419734,0.113768,-0.534004,0.000896,-0.050755,-0.056242,-0.037863,0.308272,0.042138,0.044624,0.027206,0.363931,0.008617,0.011618,0.010657,0.749131,-0.403913,0.033169,-0.512037,-0.430826,0.178749,-0.554390,-0.424566,0.129213,-0.535537,,,,,,
588,4.900000,-40.774689,-5.592449,50.423931,-0.417533,0.112851,-0.531956,0.000100,-0.050755,-0.056242,-0.037863,0.992279,0.042138,0.044624,0.027206,0.983096,0.008617,0.011618,0.010657,0.975054,-0.402904,0.032184,-0.510708,-0.427749,0.176179,-0.551745,-0.421944,0.130193,-0.533416,,,,,,
589,4.908333,-39.746674,-33.183640,37.707043,-0.416210,0.113365,-0.530664,0.000656,-0.050755,-0.056242,-0.037863,0.992279,0.042138,0.044624,0.027206,0.983096,0.008617,0.011618,0.010657,0.975054,-0.401490,0.031883,-0.508743,-0.425688,0.178143,-0.549835,-0.421552,0.129882,-0.533367,,,,,,
590,4.916667,-42.551739,5.891427,56.128372,-0.416007,0.113799,-0.530938,0.000614,-0.050755,-0.056242,-0.037863,0.726343,0.042138,0.044624,0.027206,0.502938,0.008617,0.011618,0.010657,0.704034,-0.402273,0.032155,-0.510003,-0.425565,0.178754,-0.550623,-0.420284,0.130310,-0.532142,,,,,,
591,4.925000,-41.232765,-3.106140,50.757362,-0.415002,0.112774,-0.528957,0.000247,-0.050755,-0.056242,-0.037863,0.726343,0.042138,0.044624,0.027206,0.502938,0.008617,0.011618,0.010657,0.704034,-0.401205,0.032420,-0.507634,-0.424385,0.176289,-0.548893,-0.419390,0.129661,-0.530356,,,,,,
592,4.933333,-42.293179,-11.056553,48.714256,-0.411581,0.111754,-0.524403,0.000291,-0.050755,-0.056242,-0.037863,0.937511,0.042138,0.044624,0.027206,0.871430,0.008617,0.011618,0.010657,0.888634,-0.395908,0.032123,-0.499892,-0.422262,0.174674,-0.546576,-0.416588,0.128431,-0.526731,,,,,,
593,4.941667,-42.977016,-25.727816,44.253456,-0.408863,0.110525,-0.520390,0.000549,-0.050755,-0.056242,-0.037863,0.937511,0.042138,0.044624,0.027206,0.871430,0.008617,0.011618,0.010657,0.888634,-0.390971,0.031490,-0.492349,-0.421186,0.172806,-0.544763,-0.414536,0.127088,-0.524002,,,,,,
