Format Version,1.23,Take Name,Soap_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 12.18.25.921 PM,Capture Start Frame,529838,Total Frames in Take,3110,Total Exported Frames,3110,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062
,ID,"C4D20","C4D20","C4D20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
110,0.916667,0.063707,0.507946,-0.779538
111,0.925000,0.063706,0.507947,-0.779549
112,0.933333,0.063349,0.508347,-0.779766
113,0.941667,0.063356,0.508343,-0.779760
114,0.950000,0.063710,0.507951,-0.779541
115,0.958333,0.063709,0.507944,-0.779544
116,0.966667,0.063711,0.507943,-0.779550
117,0.975000,0.063711,0.507941,-0.779546
118,0.983333,0.063712,0.507945,-0.779541
119,0.991667,0.063716,0.507936,-0.779542
120,1.000000,0.063344,0.508344,-0.779762
121,1.008333,0.063709,0.507950,-0.779537
122,1.016667,0.063717,0.507939,-0.779543
123,1.025000,0.063345,0.508350,-0.779756
124,1.033333,0.063708,0.507947,-0.779546
125,1.041667,0.063708,0.507947,-0.779545
126,1.050000,0.063711,0.507943,-0.779547
127,1.058333,0.063710,0.507946,-0.779543
128,1.066667,0.063342,0.508354,-0.779753
129,1.075000,0.063708,0.507940,-0.779541
130,1.083333,0.063707,0.507945,-0.779542
131,1.091667,0.063710,0.507944,-0.779544
132,1.100000,0.063706,0.507952,-0.779541
133,1.108333,0.063333,0.508288,-0.779795
134,1.116667,0.063703,0.507948,-0.779538
135,1.125000,0.063706,0.507948,-0.779538
136,1.133333,0.063340,0.508351,-0.779755
137,1.141667,0.063707,0.507947,-0.779535
138,1.150000,0.063342,0.508348,-0.779755
139,1.158333,0.063709,0.507944,-0.779539
140,1.166667,0.063342,0.508353,-0.779756
141,1.175000,0.063704,0.507948,-0.779539
142,1.183333,0.063705,0.507948,-0.779536
143,1.191667,0.063343,0.508348,-0.779757
144,1.200000,0.063712,0.507943,-0.779541
145,1.208333,0.063706,0.507953,-0.779539
146,1.216667,0.063711,0.507940,-0.779545
147,1.225000,0.063710,0.507947,-0.779545
148,1.233333,0.063711,0.507944,-0.779545
149,1.241667,0.063708,0.507947,-0.779552
150,1.250000,0.063715,0.507940,-0.779554
151,1.258333,0.063707,0.507949,-0.779549
152,1.266667,0.063712,0.507946,-0.779552
153,1.275000,0.063347,0.508352,-0.779768
154,1.283333,0.063342,0.508355,-0.779768
155,1.291667,0.063708,0.507945,-0.779553
156,1.300000,0.063344,0.508357,-0.779776
157,1.308333,0.063718,0.507946,-0.779565
158,1.316667,0.063716,0.507946,-0.779561
159,1.325000,0.063716,0.507948,-0.779565
160,1.333333,0.063713,0.507957,-0.779564
161,1.341667,0.063712,0.507948,-0.779563
162,1.350000,0.063715,0.507948,-0.779570
163,1.358333,0.063353,0.508348,-0.779790
164,1.366667,0.063715,0.507950,-0.779574
165,1.375000,0.063717,0.507951,-0.779572
166,1.383333,0.063726,0.507939,-0.779574
167,1.391667,0.063729,0.507940,-0.779558
168,1.400000,0.063737,0.507927,-0.779555
