Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
384,3.200000,-57.698257,23.514763,79.858459,-0.740031,0.111222,-0.784781,0.000764,-0.050755,-0.056242,-0.037863,0.749736,0.042138,0.044624,0.027206,0.547231,0.008617,0.011618,0.010657,0.701753,-0.713225,0.033475,-0.762579,-0.761876,0.172504,-0.805974,-0.745192,0.127465,-0.785754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,3.208333,-57.655655,23.468819,79.809807,-0.740039,0.111211,-0.784776,0.000761,-0.050755,-0.056242,-0.037863,0.752308,0.042138,0.044624,0.027206,0.549338,0.008617,0.011618,0.010657,0.701634,-0.713231,0.033471,-0.762579,-0.761882,0.172488,-0.805970,-0.745202,0.127454,-0.785745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,3.216667,-57.635281,23.435427,79.797432,-0.740032,0.111219,-0.784776,0.000770,-0.050755,-0.056242,-0.037863,0.743474,0.042138,0.044624,0.027206,0.540523,0.008617,0.011618,0.010657,0.699565,-0.713226,0.033456,-0.762581,-0.761865,0.172522,-0.805969,-0.745209,0.127453,-0.785744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,3.225000,-57.569679,23.356140,79.718544,-0.740042,0.111216,-0.784780,0.000766,-0.050755,-0.056242,-0.037863,0.747721,0.042138,0.044624,0.027206,0.545248,0.008617,0.011618,0.010657,0.702489,-0.713227,0.033466,-0.762583,-0.761878,0.172504,-0.805975,-0.745217,0.127459,-0.785747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,3.233333,-57.621826,23.430027,79.780922,-0.740054,0.111223,-0.784779,0.000764,-0.050755,-0.056242,-0.037863,0.748904,0.042138,0.044624,0.027206,0.547350,0.008617,0.011618,0.010657,0.703719,-0.713245,0.033472,-0.762588,-0.761892,0.172507,-0.805965,-0.745220,0.127472,-0.785750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,3.241667,-57.591328,23.390980,79.731331,-0.740054,0.111227,-0.784780,0.000764,-0.050755,-0.056242,-0.037863,0.748738,0.042138,0.044624,0.027206,0.550216,0.008617,0.011618,0.010657,0.706475,-0.713257,0.033476,-0.762575,-0.761886,0.172503,-0.805976,-0.745215,0.127486,-0.785755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,3.250000,-57.667450,23.488848,79.819839,-0.740053,0.111228,-0.784782,0.000762,-0.050755,-0.056242,-0.037863,0.748738,0.042138,0.044624,0.027206,0.550216,0.008617,0.011618,0.010657,0.706475,-0.713246,0.033493,-0.762582,-0.761885,0.172506,-0.805971,-0.745220,0.127471,-0.785759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,3.258333,-57.631859,23.452589,79.779297,-0.740052,0.111221,-0.784783,0.000760,-0.050755,-0.056242,-0.037863,0.754834,0.042138,0.044624,0.027206,0.549748,0.008617,0.011618,0.010657,0.701894,-0.713245,0.033492,-0.762588,-0.761885,0.172493,-0.805973,-0.745217,0.127466,-0.785755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,3.266667,-57.591904,23.394787,79.728447,-0.740047,0.111221,-0.784785,0.000761,-0.050755,-0.056242,-0.037863,0.757510,0.042138,0.044624,0.027206,0.552325,0.008617,0.011618,0.010657,0.702028,-0.713252,0.033475,-0.762578,-0.761868,0.172500,-0.805982,-0.745218,0.127468,-0.785760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,3.275000,-57.560135,23.348551,79.696579,-0.740047,0.111223,-0.784787,0.000759,-0.050755,-0.056242,-0.037863,0.750781,0.042138,0.044624,0.027206,0.548850,0.008617,0.011618,0.010657,0.703309,-0.713226,0.033496,-0.762585,-0.761881,0.172494,-0.805984,-0.745227,0.127464,-0.785757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,3.283333,-57.620049,23.425987,79.762627,-0.740043,0.111221,-0.784784,0.000759,-0.050755,-0.056242,-0.037863,0.755885,0.042138,0.044624,0.027206,0.550841,0.008617,0.011618,0.010657,0.701693,-0.713231,0.033492,-0.762582,-0.761881,0.172492,-0.805981,-0.745211,0.127466,-0.785756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,3.291667,-57.567787,23.352539,79.707832,-0.740049,0.111211,-0.784788,0.000755,-0.050755,-0.056242,-0.037863,0.755808,0.042138,0.044624,0.027206,0.551612,0.008617,0.011618,0.010657,0.702190,-0.713219,0.033489,-0.762588,-0.761895,0.172474,-0.805983,-0.745223,0.127459,-0.785760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,3.300000,-57.554371,23.335213,79.691147,-0.740044,0.111212,-0.784787,0.000754,-0.050755,-0.056242,-0.037863,0.756757,0.042138,0.044624,0.027206,0.552872,0.008617,0.011618,0.010657,0.703671,-0.713214,0.033491,-0.762585,-0.761892,0.172472,-0.805983,-0.745223,0.127456,-0.785757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3.308333,-57.638470,23.433056,79.787758,-0.740044,0.111210,-0.784785,0.000756,-0.050755,-0.056242,-0.037863,0.756936,0.042138,0.044624,0.027206,0.553689,0.008617,0.011618,0.010657,0.702772,-0.713213,0.033488,-0.762581,-0.761891,0.172480,-0.805978,-0.745225,0.127446,-0.785760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,3.316667,-57.603130,23.380955,79.742798,-0.740025,0.111219,-0.784783,0.000754,-0.050755,-0.056242,-0.037863,0.753534,0.042138,0.044624,0.027206,0.552047,0.008617,0.011618,0.010657,0.704766,-0.713195,0.033492,-0.762572,-0.761878,0.172480,-0.805983,-0.745195,0.127471,-0.785758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,3.325000,-57.620178,23.400383,79.768639,-0.740025,0.111220,-0.784780,0.000760,-0.050755,-0.056242,-0.037863,0.748720,0.042138,0.044624,0.027206,0.547661,0.008617,0.011618,0.010657,0.703809,-0.713201,0.033479,-0.762572,-0.761875,0.172494,-0.805978,-0.745199,0.127467,-0.785756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,3.333333,-57.608768,23.404034,79.750496,-0.740031,0.111212,-0.784779,0.000757,-0.050755,-0.056242,-0.037863,0.754074,0.042138,0.044624,0.027206,0.548701,0.008617,0.011618,0.010657,0.701289,-0.713215,0.033480,-0.762573,-0.761864,0.172489,-0.805975,-0.745210,0.127452,-0.785753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,3.341667,-57.516190,23.289410,79.652039,-0.740026,0.111220,-0.784778,0.000756,-0.050755,-0.056242,-0.037863,0.753674,0.042138,0.044624,0.027206,0.549366,0.008617,0.011618,0.010657,0.702841,-0.713198,0.033489,-0.762579,-0.761860,0.172494,-0.805974,-0.745212,0.127464,-0.785748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,3.350000,-57.648968,23.451458,79.797623,-0.740007,0.111226,-0.784775,0.000756,-0.050755,-0.056242,-0.037863,0.752692,0.042138,0.044624,0.027206,0.549237,0.008617,0.011618,0.010657,0.702948,-0.713192,0.033490,-0.762569,-0.761845,0.172501,-0.805969,-0.745178,0.127472,-0.785754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,3.358333,-57.549534,23.324694,79.691261,-0.740004,0.111230,-0.784776,0.000759,-0.050755,-0.056242,-0.037863,0.752948,0.042138,0.044624,0.027206,0.548760,0.008617,0.011618,0.010657,0.701615,-0.713173,0.033498,-0.762576,-0.761845,0.172504,-0.805971,-0.745190,0.127469,-0.785747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,3.366667,-57.607510,23.395557,79.754921,-0.740016,0.111222,-0.784779,0.000760,-0.050755,-0.056242,-0.037863,0.751312,0.042138,0.044624,0.027206,0.548567,0.008617,0.011618,0.010657,0.700896,-0.713196,0.033487,-0.762577,-0.761863,0.172498,-0.805978,-0.745191,0.127461,-0.785747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,3.375000,-57.556938,23.323843,79.700844,-0.740034,0.111218,-0.784786,0.000757,-0.050755,-0.056242,-0.037863,0.752478,0.042138,0.044624,0.027206,0.549605,0.008617,0.011618,0.010657,0.703389,-0.713193,0.033489,-0.762584,-0.761886,0.172487,-0.805982,-0.745216,0.127463,-0.785758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,3.383333,-57.669235,23.460091,79.824768,-0.740034,0.111212,-0.784786,0.000758,-0.050755,-0.056242,-0.037863,0.752478,0.042138,0.044624,0.027206,0.549605,0.008617,0.011618,0.010657,0.703389,-0.713200,0.033488,-0.762583,-0.761904,0.172470,-0.805983,-0.745193,0.127463,-0.785758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,3.391667,-57.609238,23.389359,79.759087,-0.740048,0.111201,-0.784787,0.000756,-0.050755,-0.056242,-0.037863,0.753890,0.042138,0.044624,0.027206,0.552835,0.008617,0.011618,0.010657,0.704270,-0.713219,0.033463,-0.762583,-0.761903,0.172468,-0.805981,-0.745218,0.127454,-0.785762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,3.400000,-57.635105,23.418890,79.781250,-0.740039,0.111210,-0.784786,0.000756,-0.050755,-0.056242,-0.037863,0.750029,0.042138,0.044624,0.027206,0.550073,0.008617,0.011618,0.010657,0.705396,-0.713212,0.033479,-0.762576,-0.761895,0.172473,-0.805985,-0.745209,0.127459,-0.785762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,3.408333,-57.602776,23.370844,79.749123,-0.740026,0.111222,-0.784781,0.000762,-0.050755,-0.056242,-0.037863,0.752240,0.042138,0.044624,0.027206,0.551274,0.008617,0.011618,0.010657,0.704115,-0.713172,0.033510,-0.762575,-0.761881,0.172495,-0.805984,-0.745215,0.127449,-0.785749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,3.416667,-57.578087,23.338774,79.714943,-0.740027,0.111227,-0.784782,0.000763,-0.050755,-0.056242,-0.037863,0.756822,0.042138,0.044624,0.027206,0.547439,0.008617,0.011618,0.010657,0.697990,-0.713185,0.033506,-0.762569,-0.761872,0.172505,-0.805991,-0.745221,0.127454,-0.785753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,3.425000,-57.664631,23.443148,79.820930,-0.740042,0.111210,-0.784787,0.000762,-0.050755,-0.056242,-0.037863,0.753740,0.042138,0.044624,0.027206,0.545780,0.008617,0.011618,0.010657,0.698338,-0.713193,0.033493,-0.762583,-0.761910,0.172479,-0.805989,-0.745217,0.127443,-0.785757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,3.433333,-57.657795,23.436066,79.805557,-0.740046,0.111208,-0.784786,0.000761,-0.050755,-0.056242,-0.037863,0.754776,0.042138,0.044624,0.027206,0.548447,0.008617,0.011618,0.010657,0.699668,-0.713202,0.033493,-0.762574,-0.761902,0.172480,-0.805991,-0.745226,0.127439,-0.785759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,3.441667,-57.643417,23.427029,79.787773,-0.740055,0.111206,-0.784797,0.000761,-0.050755,-0.056242,-0.037863,0.753418,0.042138,0.044624,0.027206,0.547173,0.008617,0.011618,0.010657,0.700583,-0.713226,0.033479,-0.762585,-0.761903,0.172481,-0.806003,-0.745227,0.127443,-0.785767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,3.450000,-57.677143,23.461477,79.826149,-0.740062,0.111193,-0.784793,0.000761,-0.050755,-0.056242,-0.037863,0.753404,0.042138,0.044624,0.027206,0.549435,0.008617,0.011618,0.010657,0.700578,-0.713229,0.033470,-0.762581,-0.761924,0.172460,-0.806000,-0.745231,0.127431,-0.785765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,3.458333,-57.712181,23.496119,79.868271,-0.740054,0.111197,-0.784799,0.000757,-0.050755,-0.056242,-0.037863,0.754329,0.042138,0.044624,0.027206,0.551401,0.008617,0.011618,0.010657,0.702640,-0.713210,0.033479,-0.762586,-0.761929,0.172454,-0.806001,-0.745217,0.127441,-0.785775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,3.466667,-57.613159,23.374321,79.758774,-0.740064,0.111194,-0.784801,0.000758,-0.050755,-0.056242,-0.037863,0.753630,0.042138,0.044624,0.027206,0.548731,0.008617,0.011618,0.010657,0.701469,-0.713213,0.033476,-0.762591,-0.761928,0.172459,-0.806007,-0.745242,0.127433,-0.785771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,3.475000,-57.654522,23.423788,79.802551,-0.740063,0.111190,-0.784801,0.000757,-0.050755,-0.056242,-0.037863,0.750620,0.042138,0.044624,0.027206,0.548641,0.008617,0.011618,0.010657,0.703374,-0.713223,0.033462,-0.762585,-0.761926,0.172456,-0.806005,-0.745237,0.127436,-0.785779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,3.483333,-57.655773,23.420252,79.814026,-0.740069,0.111184,-0.784805,0.000760,-0.050755,-0.056242,-0.037863,0.749294,0.042138,0.044624,0.027206,0.547488,0.008617,0.011618,0.010657,0.702709,-0.713219,0.033455,-0.762596,-0.761944,0.172452,-0.806006,-0.745242,0.127427,-0.785778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,3.491667,-57.642475,23.412437,79.795273,-0.740072,0.111186,-0.784804,0.000759,-0.050755,-0.056242,-0.037863,0.750813,0.042138,0.044624,0.027206,0.547257,0.008617,0.011618,0.010657,0.702067,-0.713228,0.033457,-0.762594,-0.761935,0.172457,-0.806006,-0.745247,0.127427,-0.785776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,3.500000,-57.578644,23.331520,79.717773,-0.740074,0.111183,-0.784802,0.000758,-0.050755,-0.056242,-0.037863,0.751823,0.042138,0.044624,0.027206,0.549055,0.008617,0.011618,0.010657,0.702514,-0.713227,0.033459,-0.762589,-0.761937,0.172447,-0.806010,-0.745254,0.127425,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,3.508333,-57.645786,23.406340,79.791710,-0.740072,0.111181,-0.784806,0.000758,-0.050755,-0.056242,-0.037863,0.751823,0.042138,0.044624,0.027206,0.549055,0.008617,0.011618,0.010657,0.702514,-0.713231,0.033448,-0.762585,-0.761937,0.172447,-0.806013,-0.745248,0.127427,-0.785785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,3.516667,-57.642807,23.415813,79.792488,-0.740071,0.111188,-0.784804,0.000759,-0.050755,-0.056242,-0.037863,0.748567,0.042138,0.044624,0.027206,0.547988,0.008617,0.011618,0.010657,0.703664,-0.713235,0.033457,-0.762594,-0.761938,0.172453,-0.806009,-0.745241,0.127431,-0.785775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,3.525000,-57.560909,23.309271,79.702606,-0.740074,0.111189,-0.784803,0.000756,-0.050755,-0.056242,-0.037863,0.750381,0.042138,0.044624,0.027206,0.549473,0.008617,0.011618,0.010657,0.702624,-0.713217,0.033472,-0.762594,-0.761939,0.172453,-0.806007,-0.745262,0.127426,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,3.533333,-57.682178,23.444769,79.839241,-0.740067,0.111183,-0.784805,0.000759,-0.050755,-0.056242,-0.037863,0.753573,0.042138,0.044624,0.027206,0.549217,0.008617,0.011618,0.010657,0.701477,-0.713215,0.033456,-0.762590,-0.761949,0.172444,-0.806009,-0.745238,0.127429,-0.785783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,3.541667,-57.593151,23.348280,79.731094,-0.740073,0.111184,-0.784798,0.000754,-0.050755,-0.056242,-0.037863,0.749323,0.042138,0.044624,0.027206,0.549017,0.008617,0.011618,0.010657,0.703691,-0.713222,0.033467,-0.762582,-0.761931,0.172448,-0.806005,-0.745258,0.127422,-0.785773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,3.550000,-57.571972,23.323381,79.704117,-0.740073,0.111185,-0.784801,0.000755,-0.050755,-0.056242,-0.037863,0.754359,0.042138,0.044624,0.027206,0.548984,0.008617,0.011618,0.010657,0.701784,-0.713229,0.033463,-0.762581,-0.761923,0.172453,-0.806012,-0.745263,0.127421,-0.785775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,3.558333,-57.731308,23.510830,79.892433,-0.740068,0.111192,-0.784800,0.000756,-0.050755,-0.056242,-0.037863,0.752702,0.042138,0.044624,0.027206,0.547917,0.008617,0.011618,0.010657,0.701120,-0.713224,0.033464,-0.762584,-0.761945,0.172452,-0.806000,-0.745230,0.127443,-0.785782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,3.566667,-57.589760,23.343857,79.728783,-0.740059,0.111200,-0.784801,0.000757,-0.050755,-0.056242,-0.037863,0.751978,0.042138,0.044624,0.027206,0.550604,0.008617,0.011618,0.010657,0.704705,-0.713212,0.033476,-0.762586,-0.761925,0.172459,-0.806009,-0.745233,0.127449,-0.785775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,3.575000,-57.514229,23.252167,79.640312,-0.740072,0.111191,-0.784797,0.000759,-0.050755,-0.056242,-0.037863,0.745637,0.042138,0.044624,0.027206,0.549593,0.008617,0.011618,0.010657,0.706658,-0.713242,0.033449,-0.762578,-0.761930,0.172454,-0.806013,-0.745246,0.127447,-0.785766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,3.583333,-57.601563,23.351191,79.754715,-0.740067,0.111191,-0.784803,0.000757,-0.050755,-0.056242,-0.037863,0.750836,0.042138,0.044624,0.027206,0.549835,0.008617,0.011618,0.010657,0.704227,-0.713205,0.033468,-0.762596,-0.761946,0.172450,-0.806002,-0.745246,0.127437,-0.785777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,3.591667,-57.606308,23.366663,79.745926,-0.740068,0.111201,-0.784800,0.000756,-0.050755,-0.056242,-0.037863,0.749563,0.042138,0.044624,0.027206,0.548642,0.008617,0.011618,0.010657,0.703678,-0.713232,0.033469,-0.762581,-0.761925,0.172468,-0.806005,-0.745248,0.127447,-0.785778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,3.600000,-57.557487,23.304804,79.693245,-0.740067,0.111196,-0.784798,0.000760,-0.050755,-0.056242,-0.037863,0.744376,0.042138,0.044624,0.027206,0.545282,0.008617,0.011618,0.010657,0.705105,-0.713236,0.033449,-0.762579,-0.761916,0.172473,-0.806008,-0.745247,0.127446,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,3.608333,-57.610748,23.369143,79.750664,-0.740067,0.111199,-0.784802,0.000759,-0.050755,-0.056242,-0.037863,0.749160,0.042138,0.044624,0.027206,0.548753,0.008617,0.011618,0.010657,0.703460,-0.713231,0.033468,-0.762584,-0.761928,0.172464,-0.806011,-0.745244,0.127445,-0.785777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,3.616667,-57.609806,23.363401,79.753616,-0.740062,0.111197,-0.784800,0.000758,-0.050755,-0.056242,-0.037863,0.750548,0.042138,0.044624,0.027206,0.548670,0.008617,0.011618,0.010657,0.702209,-0.713214,0.033471,-0.762584,-0.761929,0.172460,-0.806007,-0.745244,0.127437,-0.785774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,3.625000,-57.631210,23.383713,79.775406,-0.740056,0.111205,-0.784802,0.000759,-0.050755,-0.056242,-0.037863,0.753975,0.042138,0.044624,0.027206,0.548649,0.008617,0.011618,0.010657,0.700542,-0.713197,0.033493,-0.762584,-0.761927,0.172467,-0.806012,-0.745239,0.127440,-0.785776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,3.633333,-57.649788,23.397957,79.799194,-0.740060,0.111204,-0.784801,0.000758,-0.050755,-0.056242,-0.037863,0.753975,0.042138,0.044624,0.027206,0.548649,0.008617,0.011618,0.010657,0.700542,-0.713196,0.033489,-0.762582,-0.761942,0.172459,-0.806008,-0.745241,0.127445,-0.785778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,3.641667,-57.653805,23.408592,79.799133,-0.740075,0.111196,-0.784799,0.000756,-0.050755,-0.056242,-0.037863,0.752082,0.042138,0.044624,0.027206,0.549754,0.008617,0.011618,0.010657,0.702521,-0.713219,0.033481,-0.762578,-0.761951,0.172450,-0.806008,-0.745249,0.127443,-0.785777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,3.650000,-57.607784,23.352568,79.752464,-0.740067,0.111208,-0.784803,0.000759,-0.050755,-0.056242,-0.037863,0.753061,0.042138,0.044624,0.027206,0.550669,0.008617,0.011618,0.010657,0.703906,-0.713210,0.033484,-0.762586,-0.761942,0.172467,-0.806011,-0.745244,0.127456,-0.785778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,3.658333,-57.585934,23.323442,79.724976,-0.740058,0.111205,-0.784803,0.000761,-0.050755,-0.056242,-0.037863,0.750178,0.042138,0.044624,0.027206,0.549203,0.008617,0.011618,0.010657,0.704523,-0.713204,0.033477,-0.762582,-0.761926,0.172470,-0.806015,-0.745240,0.127450,-0.785777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3.666667,-57.588638,23.335836,79.726326,-0.740067,0.111200,-0.784799,0.000762,-0.050755,-0.056242,-0.037863,0.748419,0.042138,0.044624,0.027206,0.547244,0.008617,0.011618,0.010657,0.703741,-0.713214,0.033481,-0.762582,-0.761930,0.172468,-0.806013,-0.745250,0.127435,-0.785767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,3.675000,-57.612961,23.364557,79.756050,-0.740057,0.111210,-0.784800,0.000760,-0.050755,-0.056242,-0.037863,0.752612,0.042138,0.044624,0.027206,0.547207,0.008617,0.011618,0.010657,0.700608,-0.713198,0.033497,-0.762585,-0.761930,0.172471,-0.806010,-0.745237,0.127446,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,3.683333,-57.692848,23.462242,79.846016,-0.740073,0.111198,-0.784802,0.000758,-0.050755,-0.056242,-0.037863,0.754200,0.042138,0.044624,0.027206,0.549542,0.008617,0.011618,0.010657,0.701153,-0.713219,0.033484,-0.762586,-0.761954,0.172454,-0.806008,-0.745245,0.127438,-0.785777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,3.691667,-57.659420,23.417818,79.804962,-0.740077,0.111197,-0.784800,0.000757,-0.050755,-0.056242,-0.037863,0.751984,0.042138,0.044624,0.027206,0.548084,0.008617,0.011618,0.010657,0.701575,-0.713225,0.033476,-0.762577,-0.761944,0.172460,-0.806008,-0.745260,0.127435,-0.785780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,3.700000,-57.673607,23.441584,79.824265,-0.740067,0.111198,-0.784799,0.000760,-0.050755,-0.056242,-0.037863,0.753984,0.042138,0.044624,0.027206,0.547552,0.008617,0.011618,0.010657,0.699821,-0.713214,0.033481,-0.762583,-0.761934,0.172465,-0.806005,-0.745250,0.127430,-0.785776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,3.708333,-57.675308,23.441530,79.828735,-0.740065,0.111196,-0.784803,0.000760,-0.050755,-0.056242,-0.037863,0.750439,0.042138,0.044624,0.027206,0.547357,0.008617,0.011618,0.010657,0.702827,-0.713217,0.033470,-0.762586,-0.761933,0.172463,-0.806007,-0.745240,0.127439,-0.785781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,3.716667,-57.701195,23.475872,79.858803,-0.740070,0.111196,-0.784797,0.000761,-0.050755,-0.056242,-0.037863,0.750979,0.042138,0.044624,0.027206,0.548765,0.008617,0.011618,0.010657,0.702625,-0.713224,0.033470,-0.762583,-0.761945,0.172459,-0.806000,-0.745237,0.127439,-0.785774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,3.725000,-57.649822,23.414106,79.801765,-0.740064,0.111201,-0.784798,0.000760,-0.050755,-0.056242,-0.037863,0.750453,0.042138,0.044624,0.027206,0.549030,0.008617,0.011618,0.010657,0.703516,-0.713216,0.033474,-0.762585,-0.761936,0.172464,-0.806002,-0.745235,0.127447,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,3.733333,-57.647694,23.427597,79.797165,-0.740067,0.111201,-0.784801,0.000758,-0.050755,-0.056242,-0.037863,0.753534,0.042138,0.044624,0.027206,0.551137,0.008617,0.011618,0.010657,0.703353,-0.713229,0.033477,-0.762593,-0.761932,0.172462,-0.806003,-0.745232,0.127448,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,3.741667,-57.636742,23.400236,79.779831,-0.740072,0.111197,-0.784803,0.000764,-0.050755,-0.056242,-0.037863,0.750662,0.042138,0.044624,0.027206,0.547560,0.008617,0.011618,0.010657,0.700964,-0.713233,0.033470,-0.762585,-0.761936,0.172466,-0.806016,-0.745246,0.127435,-0.785772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
