Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-41.141209,19.919329,85.373535,-1.066230,0.371379,-0.889917,0.000718,-0.050755,-0.056242,-0.037863,0.984732,0.042138,0.044624,0.027206,0.808749,0.008617,0.011618,0.010657,0.828781,-1.030321,0.294666,-0.893805,-1.096219,0.432253,-0.890203,-1.072336,0.387129,-0.885739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-40.563377,19.559942,84.914833,-1.066407,0.375476,-0.889321,0.000742,-0.050755,-0.056242,-0.037863,0.965438,0.042138,0.044624,0.027206,0.797090,0.008617,0.011618,0.010657,0.829257,-1.030581,0.298682,-0.893425,-1.096338,0.436489,-0.889443,-1.072524,0.391149,-0.885087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-38.624855,17.626114,83.241135,-1.066367,0.379691,-0.888780,0.000704,-0.050755,-0.056242,-0.037863,0.976559,0.042138,0.044624,0.027206,0.797593,0.008617,0.011618,0.010657,0.820460,-1.030337,0.303109,-0.893198,-1.096259,0.440616,-0.888714,-1.072676,0.395267,-0.884422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-38.911926,18.153114,83.694664,-1.066591,0.383852,-0.888104,0.000697,-0.050755,-0.056242,-0.037863,0.976941,0.042138,0.044624,0.027206,0.796850,0.008617,0.011618,0.010657,0.819416,-1.030610,0.307266,-0.892753,-1.096503,0.444761,-0.887842,-1.072831,0.399452,-0.883714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-39.385090,18.787582,84.444466,-1.066823,0.388159,-0.887410,0.000721,-0.050755,-0.056242,-0.037863,0.973022,0.042138,0.044624,0.027206,0.776520,0.008617,0.011618,0.010657,0.802926,-1.030727,0.311634,-0.892340,-1.096986,0.448992,-0.886916,-1.072941,0.403766,-0.882971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-39.300022,18.809326,84.675835,-1.067029,0.392555,-0.886709,0.000731,-0.050755,-0.056242,-0.037863,0.971510,0.042138,0.044624,0.027206,0.784161,0.008617,0.011618,0.010657,0.812996,-1.030735,0.316134,-0.891950,-1.097345,0.453265,-0.885958,-1.073188,0.408185,-0.882214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-39.298946,19.075378,84.856300,-1.067235,0.396928,-0.885920,0.000712,-0.050755,-0.056242,-0.037863,0.977425,0.042138,0.044624,0.027206,0.801328,0.008617,0.011618,0.010657,0.825512,-1.031013,0.320513,-0.891437,-1.097456,0.457610,-0.884933,-1.073396,0.412590,-0.881385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-39.234367,19.191044,85.055763,-1.067288,0.401543,-0.885142,0.000673,-0.050755,-0.056242,-0.037863,0.965256,0.042138,0.044624,0.027206,0.777025,0.008617,0.011618,0.010657,0.819271,-1.030967,0.325127,-0.890960,-1.097647,0.462265,-0.883894,-1.073447,0.417148,-0.880564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-38.467495,18.560610,84.605362,-1.067291,0.406053,-0.884322,0.000685,-0.050755,-0.056242,-0.037863,0.970649,0.042138,0.044624,0.027206,0.788181,0.008617,0.011618,0.010657,0.830602,-1.030787,0.329761,-0.890477,-1.097693,0.466714,-0.882794,-1.073586,0.421597,-0.879688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-39.040127,19.282192,85.377792,-1.067328,0.410520,-0.883433,0.000691,-0.050755,-0.056242,-0.037863,0.973777,0.042138,0.044624,0.027206,0.798539,0.008617,0.011618,0.010657,0.841666,-1.030764,0.334282,-0.889804,-1.097792,0.471103,-0.881696,-1.073617,0.426092,-0.878793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-39.721695,20.029873,86.364792,-1.067112,0.415159,-0.882561,0.000732,-0.050755,-0.056242,-0.037863,0.973777,0.042138,0.044624,0.027206,0.798539,0.008617,0.011618,0.010657,0.841666,-1.030367,0.339055,-0.889220,-1.097889,0.475596,-0.880590,-1.073259,0.430751,-0.877867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-36.692513,17.211910,83.418777,-1.066535,0.419975,-0.881614,0.000784,-0.050755,-0.056242,-0.037863,0.978250,0.042138,0.044624,0.027206,0.782091,0.008617,0.011618,0.010657,0.821900,-1.029904,0.343689,-0.888529,-1.097079,0.480757,-0.879507,-1.072901,0.435356,-0.876798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,,,,,,,,,,,,,,,,,,,,-1.029544,0.348531,-0.887801,,,,-1.072635,0.439983,-0.875705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,,,,,,,,,,,,,,,,,,,,-1.029184,0.353151,-0.886943,,,,-1.072047,0.444760,-0.874624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,,,,,,,,,,,,,,,,,,,,-1.028132,0.358100,-0.886131,,,,-1.071104,0.449492,-0.873364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,,,,,,,,,,,,,,,,,,,,-1.027060,0.362977,-0.885288,,,,-1.070468,0.454139,-0.872185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
