Format Version,1.23,Take Name,BeigeRubber_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.55.03.015 AM,Capture Start Frame,442731,Total Frames in Take,2249,Total Exported Frames,2249,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
179,1.491667,-55.149040,19.783197,79.657356,-0.831425,0.110539,-0.828195,0.000700,-0.050755,-0.056242,-0.037863,0.641683,0.042138,0.044624,0.027206,0.554501,0.008617,0.011618,0.010657,0.807134,-0.801604,0.033020,-0.808070,-0.855580,0.171427,-0.847555,-0.837371,0.126884,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.500000,-54.489765,17.263210,78.560478,-0.832907,0.109175,-0.828743,0.000665,-0.050755,-0.056242,-0.037863,0.835684,0.042138,0.044624,0.027206,0.814447,0.008617,0.011618,0.010657,0.726720,-0.801595,0.033055,-0.808070,-0.859072,0.168191,-0.848934,-0.838157,0.126186,-0.829216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1.508333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.801725,0.032865,-0.808104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.802057,0.032505,-0.808236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1.525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1.550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1.558333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1.566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1.575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.837379,0.126928,-0.828910,-0.855581,0.171413,-0.847551,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1.591667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.837315,0.126986,-0.828887,-0.855643,0.171338,-0.847590,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.837532,0.126788,-0.828961,-0.855660,0.171326,-0.847589,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1.608333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.837747,0.126703,-0.829016,-0.855643,0.171335,-0.847589,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1.616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.841296,0.124511,-0.830084,-0.855901,0.171174,-0.847659,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1.625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.861369,0.167500,-0.849465,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1.641667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1.658333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1.675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1.683333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1.691667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1.708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1.716667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1.725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1.741667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1.758333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1.766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1.775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.783333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1.791667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1.808333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.816667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1.841667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1.858333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.801492,0.033115,-0.808033,,,,,,,,,,,,,,,,,,,,,,,,
224,1.866667,-55.055130,19.682648,79.537621,-0.831414,0.110535,-0.828179,0.000707,-0.050755,-0.056242,-0.037863,0.630804,0.042138,0.044624,0.027206,0.579608,0.008617,0.011618,0.010657,0.833839,-0.801661,0.032981,-0.808061,-0.855632,0.171358,-0.847576,-0.837226,0.126985,-0.828866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1.875000,-54.951210,19.485647,79.421333,-0.831488,0.110487,-0.828208,0.000696,-0.050755,-0.056242,-0.037863,0.642416,0.042138,0.044624,0.027206,0.565559,0.008617,0.011618,0.010657,0.817111,-0.801637,0.032994,-0.808060,-0.855683,0.171329,-0.847607,-0.837416,0.126860,-0.828924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.883333,-55.028912,19.594526,79.512444,-0.831476,0.110495,-0.828209,0.000694,-0.050755,-0.056242,-0.037863,0.642416,0.042138,0.044624,0.027206,0.565559,0.008617,0.011618,0.010657,0.817111,-0.801622,0.033010,-0.808071,-0.855680,0.171333,-0.847597,-0.837397,0.126864,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1.891667,-55.060509,19.623024,79.534325,-0.831492,0.110478,-0.828215,0.000694,-0.050755,-0.056242,-0.037863,0.646919,0.042138,0.044624,0.027206,0.568662,0.008617,0.011618,0.010657,0.815826,-0.801642,0.032997,-0.808064,-0.855699,0.171310,-0.847616,-0.837407,0.126850,-0.828932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1.900000,-55.116188,19.691484,79.603172,-0.831482,0.110501,-0.828218,0.000684,-0.050755,-0.056242,-0.037863,0.659632,0.042138,0.044624,0.027206,0.575710,0.008617,0.011618,0.010657,0.813282,-0.801594,0.033061,-0.808080,-0.855718,0.171308,-0.847608,-0.837399,0.126864,-0.828935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1.908333,-55.204735,19.805029,79.695122,-0.831476,0.110501,-0.828219,0.000690,-0.050755,-0.056242,-0.037863,0.659632,0.042138,0.044624,0.027206,0.575710,0.008617,0.011618,0.010657,0.813282,-0.801610,0.033050,-0.808078,-0.855720,0.171305,-0.847614,-0.837363,0.126877,-0.828932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.916667,-55.021347,19.570337,79.509338,-0.831464,0.110506,-0.828221,0.000688,-0.050755,-0.056242,-0.037863,0.656443,0.042138,0.044624,0.027206,0.577107,0.008617,0.011618,0.010657,0.815775,-0.801568,0.033068,-0.808095,-0.855714,0.171303,-0.847613,-0.837374,0.126878,-0.828922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1.925000,-55.107475,19.684839,79.595131,-0.831497,0.110477,-0.828205,0.000698,-0.050755,-0.056242,-0.037863,0.642573,0.042138,0.044624,0.027206,0.570493,0.008617,0.011618,0.010657,0.820314,-0.801654,0.032982,-0.808062,-0.855723,0.171303,-0.847600,-0.837389,0.126866,-0.828919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.933333,-55.063213,19.629375,79.541092,-0.831499,0.110482,-0.828209,0.000692,-0.050755,-0.056242,-0.037863,0.645378,0.042138,0.044624,0.027206,0.573575,0.008617,0.011618,0.010657,0.821470,-0.801652,0.032995,-0.808062,-0.855722,0.171299,-0.847606,-0.837395,0.126874,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.941667,-55.140388,19.723881,79.625267,-0.831490,0.110483,-0.828209,0.000692,-0.050755,-0.056242,-0.037863,0.645378,0.042138,0.044624,0.027206,0.573575,0.008617,0.011618,0.010657,0.821470,-0.801641,0.033003,-0.808063,-0.855726,0.171294,-0.847606,-0.837372,0.126879,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1.950000,-55.072529,19.643167,79.551926,-0.831495,0.110480,-0.828203,0.000700,-0.050755,-0.056242,-0.037863,0.647287,0.042138,0.044624,0.027206,0.575013,0.008617,0.011618,0.010657,0.821843,-0.801659,0.032984,-0.808058,-0.855709,0.171315,-0.847605,-0.837391,0.126862,-0.828912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1.958333,-55.121422,19.707655,79.605370,-0.831501,0.110478,-0.828209,0.000696,-0.050755,-0.056242,-0.037863,0.641773,0.042138,0.044624,0.027206,0.570064,0.008617,0.011618,0.010657,0.821636,-0.801669,0.032978,-0.808062,-0.855715,0.171307,-0.847604,-0.837387,0.126873,-0.828926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1.966667,-55.029907,19.595592,79.502037,-0.831490,0.110485,-0.828207,0.000694,-0.050755,-0.056242,-0.037863,0.649227,0.042138,0.044624,0.027206,0.568574,0.008617,0.011618,0.010657,0.814516,-0.801642,0.033008,-0.808062,-0.855689,0.171322,-0.847606,-0.837407,0.126852,-0.828920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1.975000,-55.018776,19.565718,79.499641,-0.831491,0.110480,-0.828209,0.000693,-0.050755,-0.056242,-0.037863,0.649227,0.042138,0.044624,0.027206,0.568574,0.008617,0.011618,0.010657,0.814516,-0.801625,0.033003,-0.808067,-0.855714,0.171303,-0.847605,-0.837403,0.126859,-0.828921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1.983333,-55.083126,19.658625,79.562828,-0.831498,0.110486,-0.828208,0.000692,-0.050755,-0.056242,-0.037863,0.646597,0.042138,0.044624,0.027206,0.570665,0.008617,0.011618,0.010657,0.818562,-0.801657,0.032996,-0.808062,-0.855718,0.171305,-0.847602,-0.837393,0.126878,-0.828924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1.991667,-55.110657,19.688320,79.596092,-0.831506,0.110473,-0.828210,0.000695,-0.050755,-0.056242,-0.037863,0.643546,0.042138,0.044624,0.027206,0.569763,0.008617,0.011618,0.010657,0.819592,-0.801662,0.032981,-0.808064,-0.855725,0.171301,-0.847604,-0.837402,0.126859,-0.828926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2.000000,-55.030491,19.603783,79.500015,-0.831506,0.110475,-0.828211,0.000693,-0.050755,-0.056242,-0.037863,0.645982,0.042138,0.044624,0.027206,0.572227,0.008617,0.011618,0.010657,0.820346,-0.801677,0.032985,-0.808066,-0.855709,0.171303,-0.847610,-0.837401,0.126865,-0.828922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2.008333,-54.975967,19.520624,79.447296,-0.831489,0.110477,-0.828216,0.000696,-0.050755,-0.056242,-0.037863,0.645982,0.042138,0.044624,0.027206,0.572227,0.008617,0.011618,0.010657,0.820346,-0.801651,0.032973,-0.808068,-0.855694,0.171310,-0.847615,-0.837398,0.126866,-0.828931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2.016667,-55.068333,19.641996,79.545227,-0.831505,0.110484,-0.828214,0.000688,-0.050755,-0.056242,-0.037863,0.653832,0.042138,0.044624,0.027206,0.572826,0.008617,0.011618,0.010657,0.815143,-0.801645,0.033022,-0.808071,-0.855718,0.171305,-0.847608,-0.837417,0.126854,-0.828928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,2.025000,-54.950886,19.491663,79.421501,-0.831498,0.110475,-0.828213,0.000689,-0.050755,-0.056242,-0.037863,0.645715,0.042138,0.044624,0.027206,0.571251,0.008617,0.011618,0.010657,0.820558,-0.801644,0.032990,-0.808070,-0.855701,0.171300,-0.847606,-0.837416,0.126860,-0.828930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2.033333,-55.069168,19.648161,79.549988,-0.831503,0.110477,-0.828217,0.000694,-0.050755,-0.056242,-0.037863,0.645715,0.042138,0.044624,0.027206,0.571251,0.008617,0.011618,0.010657,0.820558,-0.801667,0.032986,-0.808077,-0.855719,0.171303,-0.847612,-0.837394,0.126865,-0.828927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2.041667,-55.128380,19.711905,79.612885,-0.831496,0.110480,-0.828215,0.000694,-0.050755,-0.056242,-0.037863,0.644877,0.042138,0.044624,0.027206,0.572124,0.008617,0.011618,0.010657,0.819920,-0.801661,0.032979,-0.808065,-0.855705,0.171314,-0.847607,-0.837396,0.126869,-0.828939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2.050000,-55.018127,19.578051,79.500557,-0.831496,0.110478,-0.828214,0.000693,-0.050755,-0.056242,-0.037863,0.643794,0.042138,0.044624,0.027206,0.573249,0.008617,0.011618,0.010657,0.822496,-0.801648,0.032987,-0.808077,-0.855719,0.171297,-0.847606,-0.837393,0.126872,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2.058333,-55.065826,19.644173,79.544113,-0.831483,0.110477,-0.828208,0.000699,-0.050755,-0.056242,-0.037863,0.640324,0.042138,0.044624,0.027206,0.568269,0.008617,0.011618,0.010657,0.819836,-0.801659,0.032970,-0.808064,-0.855687,0.171316,-0.847606,-0.837377,0.126865,-0.828921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2.066667,-55.012436,19.582172,79.486053,-0.831502,0.110485,-0.828216,0.000687,-0.050755,-0.056242,-0.037863,0.640324,0.042138,0.044624,0.027206,0.568269,0.008617,0.011618,0.010657,0.819836,-0.801640,0.033030,-0.808081,-0.855713,0.171302,-0.847609,-0.837419,0.126850,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2.075000,-55.034370,19.604059,79.512352,-0.831484,0.110492,-0.828217,0.000689,-0.050755,-0.056242,-0.037863,0.657150,0.042138,0.044624,0.027206,0.575244,0.008617,0.011618,0.010657,0.813962,-0.801617,0.033040,-0.808083,-0.855702,0.171312,-0.847610,-0.837401,0.126854,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2.083333,-54.964249,19.508280,79.431526,-0.831500,0.110475,-0.828211,0.000689,-0.050755,-0.056242,-0.037863,0.647593,0.042138,0.044624,0.027206,0.572962,0.008617,0.011618,0.010657,0.819720,-0.801648,0.032996,-0.808066,-0.855708,0.171296,-0.847608,-0.837412,0.126858,-0.828924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2.091667,-54.993858,19.546129,79.472511,-0.831508,0.110472,-0.828207,0.000694,-0.050755,-0.056242,-0.037863,0.644643,0.042138,0.044624,0.027206,0.568939,0.008617,0.011618,0.010657,0.817781,-0.801656,0.032983,-0.808067,-0.855715,0.171305,-0.847600,-0.837428,0.126849,-0.828922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2.100000,-55.123241,19.700512,79.608032,-0.831497,0.110479,-0.828211,0.000693,-0.050755,-0.056242,-0.037863,0.644643,0.042138,0.044624,0.027206,0.568939,0.008617,0.011618,0.010657,0.817781,-0.801648,0.032993,-0.808064,-0.855728,0.171294,-0.847606,-0.837388,0.126872,-0.828930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2.108333,-55.048405,19.609089,79.521782,-0.831490,0.110483,-0.828211,0.000693,-0.050755,-0.056242,-0.037863,0.644999,0.042138,0.044624,0.027206,0.573514,0.008617,0.011618,0.010657,0.821337,-0.801652,0.032988,-0.808060,-0.855706,0.171305,-0.847612,-0.837381,0.126880,-0.828926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2.116667,-55.084629,19.659426,79.564606,-0.831501,0.110477,-0.828210,0.000693,-0.050755,-0.056242,-0.037863,0.643809,0.042138,0.044624,0.027206,0.572478,0.008617,0.011618,0.010657,0.820958,-0.801663,0.032985,-0.808064,-0.855720,0.171298,-0.847605,-0.837396,0.126867,-0.828927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2.125000,-54.950630,19.497112,79.419502,-0.831497,0.110481,-0.828209,0.000690,-0.050755,-0.056242,-0.037863,0.644108,0.042138,0.044624,0.027206,0.573431,0.008617,0.011618,0.010657,0.823025,-0.801655,0.032988,-0.808067,-0.855704,0.171302,-0.847604,-0.837400,0.126876,-0.828921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2.133333,-55.050282,19.617836,79.527962,-0.831500,0.110476,-0.828206,0.000693,-0.050755,-0.056242,-0.037863,0.644108,0.042138,0.044624,0.027206,0.573431,0.008617,0.011618,0.010657,0.823025,-0.801659,0.032985,-0.808062,-0.855717,0.171297,-0.847602,-0.837396,0.126867,-0.828920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2.141667,-55.058849,19.638838,79.533936,-0.831505,0.110480,-0.828210,0.000695,-0.050755,-0.056242,-0.037863,0.642466,0.042138,0.044624,0.027206,0.571450,0.008617,0.011618,0.010657,0.821245,-0.801681,0.032978,-0.808065,-0.855712,0.171309,-0.847607,-0.837396,0.126872,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2.150000,-54.975468,19.525871,79.447823,-0.831497,0.110491,-0.828212,0.000690,-0.050755,-0.056242,-0.037863,0.651488,0.042138,0.044624,0.027206,0.570981,0.008617,0.011618,0.010657,0.815425,-0.801636,0.033023,-0.808073,-0.855704,0.171320,-0.847608,-0.837417,0.126860,-0.828920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2.158333,-55.021542,19.590769,79.498840,-0.831492,0.110484,-0.828206,0.000687,-0.050755,-0.056242,-0.037863,0.651488,0.042138,0.044624,0.027206,0.570981,0.008617,0.011618,0.010657,0.815425,-0.801641,0.033008,-0.808068,-0.855703,0.171304,-0.847595,-0.837403,0.126865,-0.828922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2.166667,-55.031395,19.585438,79.507744,-0.831492,0.110481,-0.828205,0.000690,-0.050755,-0.056242,-0.037863,0.650055,0.042138,0.044624,0.027206,0.573847,0.008617,0.011618,0.010657,0.818510,-0.801637,0.032996,-0.808057,-0.855703,0.171306,-0.847600,-0.837405,0.126864,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2.175000,-54.932808,19.475178,79.400017,-0.831502,0.110480,-0.828206,0.000693,-0.050755,-0.056242,-0.037863,0.646636,0.042138,0.044624,0.027206,0.571878,0.008617,0.011618,0.010657,0.819737,-0.801655,0.032996,-0.808067,-0.855705,0.171307,-0.847606,-0.837413,0.126864,-0.828911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2.183333,-54.983601,19.531651,79.459297,-0.831496,0.110481,-0.828204,0.000693,-0.050755,-0.056242,-0.037863,0.644200,0.042138,0.044624,0.027206,0.570257,0.008617,0.011618,0.010657,0.819221,-0.801646,0.032992,-0.808063,-0.855707,0.171309,-0.847600,-0.837410,0.126863,-0.828916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2.191667,-55.055355,19.617399,79.537109,-0.831492,0.110484,-0.828210,0.000693,-0.050755,-0.056242,-0.037863,0.644200,0.042138,0.044624,0.027206,0.570257,0.008617,0.011618,0.010657,0.819221,-0.801648,0.032985,-0.808064,-0.855714,0.171306,-0.847603,-0.837386,0.126884,-0.828927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2.200000,-55.068798,19.635345,79.546158,-0.831488,0.110482,-0.828204,0.000692,-0.050755,-0.056242,-0.037863,0.641003,0.042138,0.044624,0.027206,0.571617,0.008617,0.011618,0.010657,0.823815,-0.801655,0.032977,-0.808051,-0.855698,0.171309,-0.847599,-0.837386,0.126881,-0.828927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2.208333,-55.033855,19.598227,79.515419,-0.831483,0.110490,-0.828212,0.000695,-0.050755,-0.056242,-0.037863,0.643862,0.042138,0.044624,0.027206,0.569232,0.008617,0.011618,0.010657,0.818851,-0.801636,0.032998,-0.808072,-0.855694,0.171323,-0.847605,-0.837390,0.126873,-0.828924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2.216667,-55.007610,19.568899,79.480301,-0.831491,0.110477,-0.828208,0.000695,-0.050755,-0.056242,-0.037863,0.642902,0.042138,0.044624,0.027206,0.569735,0.008617,0.011618,0.010657,0.819356,-0.801656,0.032980,-0.808063,-0.855693,0.171311,-0.847605,-0.837398,0.126860,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2.225000,-55.096409,19.691427,79.578957,-0.831484,0.110484,-0.828212,0.000693,-0.050755,-0.056242,-0.037863,0.642902,0.042138,0.044624,0.027206,0.569735,0.008617,0.011618,0.010657,0.819356,-0.801653,0.032993,-0.808074,-0.855692,0.171312,-0.847602,-0.837376,0.126871,-0.828926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2.233333,-55.144829,19.741068,79.633453,-0.831488,0.110481,-0.828211,0.000694,-0.050755,-0.056242,-0.037863,0.646539,0.042138,0.044624,0.027206,0.571964,0.008617,0.011618,0.010657,0.819367,-0.801653,0.032986,-0.808069,-0.855706,0.171308,-0.847602,-0.837378,0.126870,-0.828928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2.241667,-55.091633,19.669037,79.575371,-0.831500,0.110476,-0.828208,0.000696,-0.050755,-0.056242,-0.037863,0.644096,0.042138,0.044624,0.027206,0.569887,0.008617,0.011618,0.010657,0.818370,-0.801658,0.032984,-0.808064,-0.855717,0.171306,-0.847603,-0.837400,0.126858,-0.828921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2.250000,-55.141266,19.720127,79.622520,-0.831499,0.110480,-0.828207,0.000696,-0.050755,-0.056242,-0.037863,0.641829,0.042138,0.044624,0.027206,0.569940,0.008617,0.011618,0.010657,0.820482,-0.801661,0.032984,-0.808052,-0.855721,0.171306,-0.847608,-0.837387,0.126870,-0.828925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2.258333,-55.181175,19.776052,79.675400,-0.831488,0.110476,-0.828211,0.000693,-0.050755,-0.056242,-0.037863,0.641829,0.042138,0.044624,0.027206,0.569940,0.008617,0.011618,0.010657,0.820482,-0.801637,0.032991,-0.808067,-0.855718,0.171296,-0.847600,-0.837376,0.126866,-0.828930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2.266667,-55.054066,19.615440,79.534760,-0.831502,0.110469,-0.828207,0.000693,-0.050755,-0.056242,-0.037863,0.642606,0.042138,0.044624,0.027206,0.570203,0.008617,0.011618,0.010657,0.821414,-0.801655,0.032976,-0.808061,-0.855720,0.171296,-0.847603,-0.837401,0.126860,-0.828923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
