Format Version,1.23,Take Name,BeigeRubber_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.55.03.015 AM,Capture Start Frame,442731,Total Frames in Take,2249,Total Exported Frames,2249,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-55.123093,19.770185,79.549484,-0.831468,0.110563,-0.828279,0.000672,-0.050755,-0.056242,-0.037863,0.666512,0.042138,0.044624,0.027206,0.592757,0.008617,0.011618,0.010657,0.823846,-0.801695,0.033108,-0.808119,-0.855650,0.171344,-0.847693,-0.837313,0.126976,-0.828992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-55.095371,19.692583,79.519081,-0.831498,0.110552,-0.828286,0.000670,-0.050755,-0.056242,-0.037863,0.670117,0.042138,0.044624,0.027206,0.595169,0.008617,0.011618,0.010657,0.823078,-0.801677,0.033128,-0.808116,-0.855714,0.171312,-0.847712,-0.837356,0.126959,-0.828999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-55.094692,19.680210,79.505325,-0.831515,0.110547,-0.828290,0.000669,-0.050755,-0.056242,-0.037863,0.670117,0.042138,0.044624,0.027206,0.595169,0.008617,0.011618,0.010657,0.823078,-0.801700,0.033120,-0.808103,-0.855724,0.171305,-0.847726,-0.837373,0.126958,-0.829008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-55.079727,19.668091,79.492508,-0.831530,0.110547,-0.828308,0.000670,-0.050755,-0.056242,-0.037863,0.668233,0.042138,0.044624,0.027206,0.594679,0.008617,0.011618,0.010657,0.824453,-0.801719,0.033117,-0.808127,-0.855743,0.171303,-0.847741,-0.837384,0.126960,-0.829022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-55.014271,19.541857,79.429550,-0.831526,0.110553,-0.828307,0.000661,-0.050755,-0.056242,-0.037863,0.668750,0.042138,0.044624,0.027206,0.599466,0.008617,0.011618,0.010657,0.828941,-0.801660,0.033146,-0.808119,-0.855773,0.171282,-0.847739,-0.837399,0.126973,-0.829031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-55.098892,19.681021,79.514938,-0.831539,0.110542,-0.828307,0.000665,-0.050755,-0.056242,-0.037863,0.669542,0.042138,0.044624,0.027206,0.598835,0.008617,0.011618,0.010657,0.826965,-0.801712,0.033121,-0.808124,-0.855766,0.171284,-0.847737,-0.837393,0.126962,-0.829026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-55.000893,19.545443,79.417313,-0.831531,0.110545,-0.828309,0.000664,-0.050755,-0.056242,-0.037863,0.669542,0.042138,0.044624,0.027206,0.598835,0.008617,0.011618,0.010657,0.826965,-0.801679,0.033134,-0.808132,-0.855768,0.171281,-0.847740,-0.837394,0.126965,-0.829023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-55.055187,19.627422,79.474937,-0.831524,0.110540,-0.828301,0.000662,-0.050755,-0.056242,-0.037863,0.669697,0.042138,0.044624,0.027206,0.599425,0.008617,0.011618,0.010657,0.828208,-0.801691,0.033116,-0.808122,-0.855742,0.171291,-0.847723,-0.837393,0.126954,-0.829025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-55.115929,19.714624,79.543442,-0.831513,0.110546,-0.828298,0.000668,-0.050755,-0.056242,-0.037863,0.670479,0.042138,0.044624,0.027206,0.596581,0.008617,0.011618,0.010657,0.823445,-0.801687,0.033125,-0.808129,-0.855737,0.171298,-0.847722,-0.837369,0.126954,-0.829011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-55.272064,19.928675,79.702301,-0.831496,0.110552,-0.828288,0.000674,-0.050755,-0.056242,-0.037863,0.662566,0.042138,0.044624,0.027206,0.592987,0.008617,0.011618,0.010657,0.826629,-0.801723,0.033094,-0.808109,-0.855702,0.171324,-0.847714,-0.837317,0.126979,-0.829008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-55.065590,19.649591,79.488029,-0.831465,0.110572,-0.828280,0.000666,-0.050755,-0.056242,-0.037863,0.662566,0.042138,0.044624,0.027206,0.592987,0.008617,0.011618,0.010657,0.826629,-0.801641,0.033141,-0.808107,-0.855685,0.171324,-0.847703,-0.837324,0.126991,-0.828999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-55.011074,19.596018,79.439491,-0.831459,0.110578,-0.828267,0.000669,-0.050755,-0.056242,-0.037863,0.664359,0.042138,0.044624,0.027206,0.593209,0.008617,0.011618,0.010657,0.826611,-0.801642,0.033134,-0.808106,-0.855663,0.171346,-0.847680,-0.837325,0.126994,-0.828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-54.999466,19.620436,79.421082,-0.831432,0.110590,-0.828267,0.000673,-0.050755,-0.056242,-0.037863,0.665513,0.042138,0.044624,0.027206,0.591966,0.008617,0.011618,0.010657,0.823262,-0.801654,0.033132,-0.808115,-0.855605,0.171377,-0.847678,-0.837295,0.126998,-0.828975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-55.021042,19.658083,79.436867,-0.831416,0.110598,-0.828254,0.000670,-0.050755,-0.056242,-0.037863,0.665513,0.042138,0.044624,0.027206,0.591966,0.008617,0.011618,0.010657,0.823262,-0.801656,0.033132,-0.808094,-0.855558,0.171404,-0.847661,-0.837295,0.126993,-0.828973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-54.993370,19.643917,79.405113,-0.831406,0.110601,-0.828247,0.000672,-0.050755,-0.056242,-0.037863,0.664995,0.042138,0.044624,0.027206,0.586970,0.008617,0.011618,0.010657,0.819773,-0.801669,0.033120,-0.808093,-0.855535,0.171413,-0.847652,-0.837274,0.127006,-0.828963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-54.955418,19.589724,79.377350,-0.831404,0.110608,-0.828247,0.000671,-0.050755,-0.056242,-0.037863,0.663112,0.042138,0.044624,0.027206,0.587518,0.008617,0.011618,0.010657,0.822496,-0.801646,0.033132,-0.808103,-0.855544,0.171417,-0.847645,-0.837280,0.127012,-0.828961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-55.083599,19.755520,79.504677,-0.831402,0.110603,-0.828244,0.000668,-0.050755,-0.056242,-0.037863,0.666548,0.042138,0.044624,0.027206,0.589901,0.008617,0.011618,0.010657,0.821649,-0.801658,0.033133,-0.808091,-0.855543,0.171406,-0.847645,-0.837261,0.127008,-0.828964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-55.046108,19.712814,79.468636,-0.831392,0.110609,-0.828250,0.000671,-0.050755,-0.056242,-0.037863,0.666548,0.042138,0.044624,0.027206,0.589901,0.008617,0.011618,0.010657,0.821649,-0.801649,0.033135,-0.808103,-0.855530,0.171420,-0.847651,-0.837255,0.127010,-0.828964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-55.312904,20.023090,79.757362,-0.831408,0.110601,-0.828254,0.000672,-0.050755,-0.056242,-0.037863,0.665257,0.042138,0.044624,0.027206,0.588275,0.008617,0.011618,0.010657,0.820525,-0.801660,0.033130,-0.808093,-0.855579,0.171398,-0.847653,-0.837245,0.127011,-0.828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-55.020687,19.666853,79.441978,-0.831440,0.110588,-0.828256,0.000678,-0.050755,-0.056242,-0.037863,0.662569,0.042138,0.044624,0.027206,0.588239,0.008617,0.011618,0.010657,0.821931,-0.801691,0.033113,-0.808108,-0.855593,0.171394,-0.847667,-0.837295,0.126994,-0.828959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-55.176582,19.835146,79.617767,-0.831463,0.110572,-0.828259,0.000676,-0.050755,-0.056242,-0.037863,0.661449,0.042138,0.044624,0.027206,0.590302,0.008617,0.011618,0.010657,0.825293,-0.801691,0.033102,-0.808103,-0.855652,0.171359,-0.847666,-0.837302,0.126991,-0.828975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-55.106918,19.745268,79.536972,-0.831477,0.110573,-0.828268,0.000680,-0.050755,-0.056242,-0.037863,0.661449,0.042138,0.044624,0.027206,0.590302,0.008617,0.011618,0.010657,0.825293,-0.801712,0.033098,-0.808107,-0.855652,0.171374,-0.847684,-0.837331,0.126979,-0.828978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
