Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
128,1.066667,0.068903,0.499109,-0.761723
129,1.075000,0.068924,0.498320,-0.760363
130,1.083333,0.068891,0.497650,-0.758796
131,1.091667,0.068827,0.496881,-0.757345
132,1.100000,0.068797,0.496141,-0.755729
133,1.108333,0.068787,0.495368,-0.754051
134,1.116667,0.068896,0.494385,-0.752406
135,1.125000,0.068902,0.493531,-0.750739
136,1.133333,0.068828,0.492696,-0.748955
137,1.141667,0.068743,0.491780,-0.747108
138,1.150000,0.068694,0.490940,-0.745264
139,1.158333,0.068875,0.489893,-0.743487
140,1.166667,0.068834,0.488941,-0.741570
141,1.175000,0.068797,0.488096,-0.739591
142,1.183333,0.068724,0.487090,-0.737598
143,1.191667,0.068793,0.486090,-0.735580
144,1.200000,0.068860,0.485038,-0.733518
145,1.208333,0.068824,0.483969,-0.731361
146,1.216667,0.068812,0.482952,-0.729225
147,1.225000,0.068929,0.481760,-0.727038
148,1.233333,0.068922,0.480630,-0.724678
149,1.241667,0.068870,0.479581,-0.722458
150,1.250000,0.068677,0.478553,-0.720077
151,1.258333,0.068644,0.477372,-0.717866
152,1.266667,0.068591,0.476080,-0.715787
153,1.275000,0.068206,0.475081,-0.713589
154,1.283333,0.068069,0.473894,-0.711175
155,1.291667,0.068028,0.472763,-0.708696
156,1.300000,0.067877,0.471602,-0.706287
157,1.308333,0.067661,0.470380,-0.703815
158,1.316667,0.067711,0.468928,-0.701125
159,1.325000,0.067452,0.467674,-0.698357
160,1.333333,0.067363,0.466279,-0.695608
161,1.341667,0.067232,0.464850,-0.692646
162,1.350000,0.067176,0.463372,-0.689648
163,1.358333,0.066996,0.461841,-0.686568
164,1.366667,0.066942,0.460198,-0.683384
165,1.375000,0.066896,0.458553,-0.679996
166,1.383333,0.066752,0.456937,-0.676706
167,1.391667,0.066639,0.455310,-0.673164
168,1.400000,0.066644,0.453600,-0.669656
169,1.408333,0.066541,0.451838,-0.666109
170,1.416667,0.066554,0.449928,-0.662566
171,1.425000,0.066396,0.448229,-0.658808
172,1.433333,0.066333,0.446429,-0.655030
173,1.441667,0.066330,0.444430,-0.651184
174,1.450000,0.066234,0.442613,-0.647211
175,1.458333,0.066285,0.440504,-0.643246
176,1.466667,0.066191,0.438531,-0.639148
177,1.475000,0.066151,0.436584,-0.635016
178,1.483333,0.066051,0.434556,-0.630817
179,1.491667,0.065930,0.432495,-0.626543
180,1.500000,0.065944,0.430362,-0.622205
181,1.508333,0.065818,0.428281,-0.617725
182,1.516667,0.065871,0.425941,-0.613367
183,1.525000,0.065701,0.423862,-0.608661
184,1.533333,0.065682,0.421484,-0.604152
185,1.541667,0.065514,0.419454,-0.599434
186,1.550000,0.065512,0.417099,-0.594872
187,1.558333,0.065190,0.415008,-0.590121
188,1.566667,0.065076,0.412769,-0.585713
189,1.575000,0.064733,0.410621,-0.581254
190,1.583333,0.064323,0.408747,-0.576803
191,1.591667,0.063991,0.406784,-0.572659
192,1.600000,0.063382,0.405225,-0.568626
193,1.608333,0.062648,0.403837,-0.564661
194,1.616667,0.061723,0.402968,-0.560874
195,1.625000,0.060773,0.402242,-0.557464
196,1.633333,0.059609,0.401691,-0.554449
197,1.641667,0.058360,0.401068,-0.551753
198,1.650000,0.056962,0.400601,-0.549167
199,1.658333,0.055260,0.400079,-0.546834
200,1.666667,0.053263,0.399775,-0.544767
201,1.675000,0.050881,0.399437,-0.543112
202,1.683333,0.048589,0.399061,-0.541855
203,1.691667,0.046298,0.398913,-0.541141
204,1.700000,0.044058,0.398666,-0.540645
205,1.708333,0.041528,0.398769,-0.540414
206,1.716667,0.039730,0.398211,-0.540619
207,1.725000,0.038119,0.398057,-0.540842
208,1.733333,0.037057,0.397979,-0.541247
209,1.741667,0.036537,0.398065,-0.541798
210,1.750000,0.036714,0.397929,-0.542695
211,1.758333,0.036999,0.397788,-0.543595
212,1.766667,0.037346,0.397979,-0.544636
213,1.775000,0.038203,0.398152,-0.546140
214,1.783333,0.039260,0.398218,-0.547814
215,1.791667,0.040298,0.398720,-0.549606
216,1.800000,0.041633,0.398827,-0.551629
217,1.808333,0.043149,0.399146,-0.553880
218,1.816667,0.044810,0.399169,-0.556369
219,1.825000,0.046111,0.399551,-0.558789
220,1.833333,0.047853,0.400637,-0.560572
221,1.841667,0.049619,0.401526,-0.561983
222,1.850000,0.051635,0.401360,-0.563229
223,1.858333,0.053587,0.401317,-0.564027
224,1.866667,0.055559,0.401423,-0.564913
225,1.875000,0.057164,0.401483,-0.565565
226,1.883333,0.058735,0.401476,-0.566198
227,1.891667,0.060157,0.401520,-0.566767
228,1.900000,0.061371,0.401403,-0.567480
229,1.908333,0.062413,0.401422,-0.567925
230,1.916667,0.063472,0.401252,-0.568366
231,1.925000,0.064237,0.401190,-0.568768
232,1.933333,0.064972,0.401163,-0.568976
233,1.941667,0.065579,0.401102,-0.569349
234,1.950000,0.066110,0.400968,-0.569576
235,1.958333,0.066389,0.400954,-0.569633
236,1.966667,0.066410,0.400915,-0.569566
237,1.975000,0.066273,0.400896,-0.569442
238,1.983333,0.066096,0.400848,-0.569288
239,1.991667,0.065811,0.400860,-0.568987
240,2.000000,0.065384,0.400811,-0.568620
241,2.008333,0.065004,0.400774,-0.568297
242,2.016667,0.064505,0.400782,-0.567873
243,2.025000,0.063780,0.400820,-0.567362
