Format Version,1.23,Take Name,FloorBottom_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.15.04.955 PM,Capture Start Frame,1018996,Total Frames in Take,2687,Total Exported Frames,2687,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-52.305267,15.583666,75.618500,-0.776396,0.129490,-0.804806,0.000627,-0.050755,-0.056242,-0.037863,0.594477,0.042138,0.044624,0.027206,0.592610,0.008617,0.011618,0.010657,0.899516,-0.747185,0.051812,-0.783802,-0.799737,0.190357,-0.824828,-0.782529,0.146015,-0.805747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-52.730675,16.157692,76.078667,-0.776355,0.128887,-0.804739,0.000649,-0.050755,-0.056242,-0.037863,0.590664,0.042138,0.044624,0.027206,0.567050,0.008617,0.011618,0.010657,0.877726,-0.747171,0.051176,-0.783697,-0.799729,0.189761,-0.824783,-0.782438,0.145429,-0.805694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-52.153858,15.279681,75.392494,-0.776364,0.128197,-0.804682,0.000634,-0.050755,-0.056242,-0.037863,0.591282,0.042138,0.044624,0.027206,0.591967,0.008617,0.011618,0.010657,0.898408,-0.747146,0.050547,-0.783625,-0.799763,0.188971,-0.824771,-0.782446,0.144789,-0.805610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-51.747009,14.640925,74.852943,-0.776285,0.127524,-0.804642,0.000610,-0.050755,-0.056242,-0.037863,0.612948,0.042138,0.044624,0.027206,0.573441,0.008617,0.011618,0.010657,0.866471,-0.747060,0.049939,-0.783515,-0.799527,0.188366,-0.824773,-0.782518,0.143992,-0.805600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-52.967644,16.390263,76.236450,-0.776265,0.126822,-0.804538,0.000629,-0.050755,-0.056242,-0.037863,0.600124,0.042138,0.044624,0.027206,0.564741,0.008617,0.011618,0.010657,0.867599,-0.747052,0.049206,-0.783380,-0.799630,0.187645,-0.824643,-0.782375,0.143332,-0.805552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-52.453541,15.670293,75.605934,-0.776164,0.126182,-0.804465,0.000610,-0.050755,-0.056242,-0.037863,0.612085,0.042138,0.044624,0.027206,0.582041,0.008617,0.011618,0.010657,0.877809,-0.746985,0.048589,-0.783283,-0.799454,0.186974,-0.824590,-0.782298,0.142713,-0.805483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-52.226757,15.281307,75.291695,-0.776184,0.125475,-0.804391,0.000600,-0.050755,-0.056242,-0.037863,0.601342,0.042138,0.044624,0.027206,0.604137,0.008617,0.011618,0.010657,0.909275,-0.747045,0.047861,-0.783150,-0.799487,0.186192,-0.824562,-0.782268,0.142101,-0.805423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-53.322483,16.866779,76.482162,-0.776192,0.124815,-0.804340,0.000606,-0.050755,-0.056242,-0.037863,0.604354,0.042138,0.044624,0.027206,0.573529,0.008617,0.011618,0.010657,0.874730,-0.747116,0.047192,-0.783051,-0.799482,0.185609,-0.824526,-0.782230,0.141367,-0.805403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-52.841633,16.175730,75.926880,-0.776143,0.124180,-0.804281,0.000641,-0.050755,-0.056242,-0.037863,0.582521,0.042138,0.044624,0.027206,0.558478,0.008617,0.011618,0.010657,0.875907,-0.747122,0.046492,-0.782977,-0.799358,0.185037,-0.824513,-0.782217,0.140719,-0.805312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-52.308540,15.368319,75.241600,-0.776140,0.123523,-0.804215,0.000628,-0.050755,-0.056242,-0.037863,0.577219,0.042138,0.044624,0.027206,0.580288,0.008617,0.011618,0.010657,0.903868,-0.747187,0.045817,-0.782845,-0.799296,0.184325,-0.824505,-0.782197,0.140141,-0.805253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-52.554302,15.671027,75.496597,-0.776116,0.122843,-0.804186,0.000628,-0.050755,-0.056242,-0.037863,0.577219,0.042138,0.044624,0.027206,0.580288,0.008617,0.011618,0.010657,0.903868,-0.747113,0.045203,-0.782796,-0.799333,0.183620,-0.824527,-0.782159,0.139423,-0.805196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-52.886822,16.154631,75.835838,-0.776186,0.122112,-0.804143,0.000637,-0.050755,-0.056242,-0.037863,0.591788,0.042138,0.044624,0.027206,0.581944,0.008617,0.011618,0.010657,0.890185,-0.747191,0.044508,-0.782721,-0.799331,0.182975,-0.824505,-0.782289,0.138574,-0.805164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
