,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C40A0","C40A0","C40A0","C4070","C4070","C4070","C4090","C4090","C4090","C4030","C4030","C4030","C40B0","C40B0","C40B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.075000,10.838108,11.730858,9.228666,-0.686024,0.405173,-0.742230,0.000387,-0.050755,-0.056242,-0.037863,0.847767,0.042138,0.044624,0.027206,0.928040,0.008617,0.011618,0.010657,0.829087,-0.733498,0.348357,-0.782120,-0.646825,0.451358,-0.713108,-0.677698,0.415843,-0.731430,,,,,,
10,0.083333,10.839986,11.733235,9.231737,-0.686022,0.405170,-0.742227,0.000385,-0.050755,-0.056242,-0.037863,0.847240,0.042138,0.044624,0.027206,0.928783,0.008617,0.011618,0.010657,0.830499,-0.733493,0.348356,-0.782119,-0.646831,0.451354,-0.713109,-0.677691,0.415840,-0.731422,,,,,,
11,0.091667,10.885431,11.806393,9.259904,-0.686024,0.405170,-0.742230,0.000387,-0.050755,-0.056242,-0.037863,0.848489,0.042138,0.044624,0.027206,0.928412,0.008617,0.011618,0.010657,0.829726,-0.733504,0.348352,-0.782117,-0.646830,0.451357,-0.713114,-0.677695,0.415839,-0.731426,,,,,,
12,0.100000,10.932566,11.873920,9.288457,-0.686028,0.405172,-0.742225,0.000386,-0.050755,-0.056242,-0.037863,0.845644,0.042138,0.044624,0.027206,0.927800,0.008617,0.011618,0.010657,0.829449,-0.733502,0.348364,-0.782112,-0.646848,0.451349,-0.713110,-0.677690,0.415837,-0.731426,,,,,,
13,0.108333,10.890529,11.810557,9.262237,-0.686039,0.405160,-0.742222,0.000384,-0.050755,-0.056242,-0.037863,0.845581,0.042138,0.044624,0.027206,0.931026,0.008617,0.011618,0.010657,0.826690,-0.733508,0.348353,-0.782114,-0.646826,0.451358,-0.713111,-0.677733,0.415808,-0.731408,,,,,,
14,0.116667,10.911536,11.840777,9.273250,-0.686029,0.405170,-0.742227,0.000387,-0.050755,-0.056242,-0.037863,0.847656,0.042138,0.044624,0.027206,0.927959,0.008617,0.011618,0.010657,0.829909,-0.733510,0.348358,-0.782116,-0.646839,0.451353,-0.713109,-0.677691,0.415836,-0.731427,,,,,,
15,0.125000,10.879169,11.787922,9.254754,-0.686019,0.405174,-0.742225,0.000386,-0.050755,-0.056242,-0.037863,0.846483,0.042138,0.044624,0.027206,0.928129,0.008617,0.011618,0.010657,0.829668,-0.733489,0.348363,-0.782117,-0.646834,0.451354,-0.713104,-0.677688,0.415843,-0.731423,,,,,,
16,0.133333,10.868029,11.778753,9.254171,-0.686024,0.405171,-0.742225,0.000383,-0.050755,-0.056242,-0.037863,0.846483,0.042138,0.044624,0.027206,0.928129,0.008617,0.011618,0.010657,0.829668,-0.733490,0.348356,-0.782115,-0.646837,0.451358,-0.713109,-0.677694,0.415840,-0.731420,,,,,,
17,0.141667,10.878819,11.794799,9.251050,-0.686032,0.405173,-0.742226,0.000385,-0.050755,-0.056242,-0.037863,0.846386,0.042138,0.044624,0.027206,0.928885,0.008617,0.011618,0.010657,0.830278,-0.733523,0.348355,-0.782115,-0.646834,0.451356,-0.713110,-0.677694,0.415842,-0.731425,,,,,,
18,0.150000,10.873281,11.787258,9.251672,-0.686031,0.405166,-0.742225,0.000385,-0.050755,-0.056242,-0.037863,0.850383,0.042138,0.044624,0.027206,0.928285,0.008617,0.011618,0.010657,0.830474,-0.733507,0.348352,-0.782113,-0.646838,0.451351,-0.713110,-0.677698,0.415834,-0.731420,,,,,,
