,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C40A0","C40A0","C40A0","C4070","C4070","C4070","C4090","C4090","C4090","C4030","C4030","C4030","C40B0","C40B0","C40B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
301,2.508333,-36.586700,-6.775898,66.273033,-0.677987,0.325598,-0.745521,0.000398,-0.050755,-0.056242,-0.037863,0.940767,0.042138,0.044624,0.027206,0.946087,0.008617,0.011618,0.010657,0.900116,-0.642715,0.250108,-0.731503,-0.705053,0.385473,-0.759609,-0.686158,0.341236,-0.745440,,,,,,
302,2.516667,-35.804543,-8.435588,65.612221,-0.677504,0.328966,-0.744740,0.000388,-0.050755,-0.056242,-0.037863,0.941092,0.042138,0.044624,0.027206,0.943224,0.008617,0.011618,0.010657,0.897375,-0.642068,0.253530,-0.730800,-0.704636,0.388823,-0.758723,-0.685773,0.344578,-0.744684,,,,,,
303,2.525000,-36.145641,-7.276413,66.315704,-0.677088,0.333337,-0.743933,0.000393,-0.050755,-0.056242,-0.037863,0.943344,0.042138,0.044624,0.027206,0.939118,0.008617,0.011618,0.010657,0.896939,-0.641477,0.257941,-0.730261,-0.704414,0.393178,-0.757760,-0.685350,0.348911,-0.743769,,,,,,
304,2.533333,-35.232624,-8.962843,65.831360,-0.676528,0.338541,-0.743022,0.000391,-0.050755,-0.056242,-0.037863,0.942536,0.042138,0.044624,0.027206,0.943727,0.008617,0.011618,0.010657,0.897530,-0.640530,0.263289,-0.729608,-0.704058,0.398307,-0.756585,-0.684950,0.354071,-0.742855,,,,,,
305,2.541667,-35.120785,-8.721587,66.377899,-0.675997,0.344649,-0.741931,0.000415,-0.050755,-0.056242,-0.037863,0.941283,0.042138,0.044624,0.027206,0.943038,0.008617,0.011618,0.010657,0.899955,-0.639503,0.269629,-0.728878,-0.703997,0.404207,-0.755204,-0.684438,0.360152,-0.741693,,,,,,
306,2.550000,-34.717770,-8.927054,66.500290,-0.675700,0.351402,-0.740776,0.000392,-0.050755,-0.056242,-0.037863,0.929410,0.042138,0.044624,0.027206,0.935569,0.008617,0.011618,0.010657,0.891093,-0.638937,0.276430,-0.728172,-0.703892,0.410958,-0.753728,-0.684226,0.366854,-0.740411,,,,,,
307,2.558333,-33.874657,-10.157166,66.194794,-0.675446,0.358698,-0.739392,0.000404,-0.050755,-0.056242,-0.037863,0.931676,0.042138,0.044624,0.027206,0.943554,0.008617,0.011618,0.010657,0.898777,-0.638383,0.283807,-0.727197,-0.703865,0.418238,-0.752002,-0.684046,0.374089,-0.738963,,,,,,
308,2.566667,-33.836193,-9.505219,66.560493,-0.675107,0.366487,-0.737918,0.000398,-0.050755,-0.056242,-0.037863,0.935600,0.042138,0.044624,0.027206,0.940565,0.008617,0.011618,0.010657,0.890740,-0.637967,0.291547,-0.726166,-0.703610,0.426095,-0.750188,-0.683700,0.381861,-0.737385,,,,,,
309,2.575000,-32.909206,-10.838875,66.249481,-0.674843,0.374581,-0.736337,0.000401,-0.050755,-0.056242,-0.037863,0.929969,0.042138,0.044624,0.027206,0.938996,0.008617,0.011618,0.010657,0.886339,-0.637354,0.299776,-0.725043,-0.703587,0.434124,-0.748229,-0.683532,0.389893,-0.735722,,,,,,
310,2.583333,-32.928204,-10.141267,66.856163,-0.674484,0.382960,-0.734630,0.000403,-0.050755,-0.056242,-0.037863,0.930374,0.042138,0.044624,0.027206,0.939355,0.008617,0.011618,0.010657,0.886807,-0.636654,0.308257,-0.723754,-0.703523,0.442427,-0.746183,-0.683226,0.398238,-0.733938,,,,,,
311,2.591667,-31.582952,-12.288677,66.152878,-0.674242,0.391613,-0.732882,0.000398,-0.050755,-0.056242,-0.037863,0.930169,0.042138,0.044624,0.027206,0.937687,0.008617,0.011618,0.010657,0.886931,-0.636109,0.317004,-0.722515,-0.703464,0.451045,-0.744037,-0.683108,0.406827,-0.732079,,,,,,
312,2.600000,-32.445042,-9.631991,67.561775,-0.674153,0.400494,-0.731032,0.000404,-0.050755,-0.056242,-0.037863,0.930277,0.042138,0.044624,0.027206,0.944776,0.008617,0.011618,0.010657,0.891573,-0.635760,0.325937,-0.721160,-0.703640,0.459901,-0.741805,-0.683017,0.415683,-0.730113,,,,,,
313,2.608333,-30.896549,-12.209303,66.709908,-0.674081,0.409535,-0.729044,0.000391,-0.050755,-0.056242,-0.037863,0.933925,0.042138,0.044624,0.027206,0.937821,0.008617,0.011618,0.010657,0.884339,-0.635346,0.335088,-0.719651,-0.703812,0.468871,-0.739432,-0.683037,0.424687,-0.728034,,,,,,
314,2.616667,-30.384571,-12.663192,66.843796,-0.674063,0.418739,-0.726951,0.000417,-0.050755,-0.056242,-0.037863,0.925444,0.042138,0.044624,0.027206,0.940923,0.008617,0.011618,0.010657,0.881476,-0.634950,0.344480,-0.717972,-0.704074,0.477971,-0.737008,-0.683102,0.433817,-0.725857,,,,,,
315,2.625000,-30.038445,-12.793777,67.128777,-0.674034,0.428108,-0.724728,0.000417,-0.050755,-0.056242,-0.037863,0.924098,0.042138,0.044624,0.027206,0.938815,0.008617,0.011618,0.010657,0.875896,-0.634534,0.354012,-0.716133,-0.704370,0.487228,-0.734470,-0.683131,0.443133,-0.723565,,,,,,
316,2.633333,-28.429047,-15.634153,66.027504,-0.673783,0.437883,-0.722434,0.000380,-0.050755,-0.056242,-0.037863,0.924098,0.042138,0.044624,0.027206,0.938815,0.008617,0.011618,0.010657,0.875896,-0.634075,0.363773,-0.714222,-0.704314,0.497167,-0.731861,-0.683188,0.452677,-0.721149,,,,,,
317,2.641667,-28.445721,-14.689188,66.712265,-0.673991,0.447722,-0.720034,0.000383,-0.050755,-0.056242,-0.037863,0.944294,0.042138,0.044624,0.027206,0.891481,0.008617,0.011618,0.010657,0.896918,-0.633953,0.373719,-0.712364,-0.704834,0.506902,-0.729041,-0.683421,0.462508,-0.718626,,,,,,
318,2.650000,-27.652138,-15.454246,66.686440,-0.674087,0.457706,-0.717519,0.000388,-0.050755,-0.056242,-0.037863,0.947018,0.042138,0.044624,0.027206,0.892792,0.008617,0.011618,0.010657,0.901067,-0.633718,0.383857,-0.710414,-0.705137,0.516803,-0.726095,-0.683607,0.472426,-0.715982,,,,,,
319,2.658333,-26.690741,-16.615780,66.614861,-0.674163,0.467823,-0.714733,0.000376,-0.050755,-0.056242,-0.037863,0.940905,0.042138,0.044624,0.027206,0.903620,0.008617,0.011618,0.010657,0.901071,-0.633326,0.394171,-0.708139,-0.705574,0.526816,-0.722874,-0.683801,0.482447,-0.713118,,,,,,
320,2.666667,-26.329439,-16.555004,66.976669,-0.674226,0.478029,-0.711883,0.000383,-0.050755,-0.056242,-0.037863,0.942906,0.042138,0.044624,0.027206,0.895142,0.008617,0.011618,0.010657,0.896272,-0.633021,0.404564,-0.705770,-0.705984,0.536865,-0.719629,-0.683905,0.492608,-0.710170,,,,,,
321,2.675000,-25.749750,-16.833649,67.283440,-0.674332,0.488125,-0.708864,0.000396,-0.050755,-0.056242,-0.037863,0.937562,0.042138,0.044624,0.027206,0.887776,0.008617,0.011618,0.010657,0.892041,-0.632650,0.414897,-0.703293,-0.706429,0.546829,-0.716179,-0.684126,0.502607,-0.707048,,,,,,
322,2.683333,-25.445326,-16.650457,67.683853,-0.674352,0.498292,-0.705781,0.000358,-0.050755,-0.056242,-0.037863,0.935309,0.042138,0.044624,0.027206,0.898316,0.008617,0.011618,0.010657,0.892746,-0.632253,0.425179,-0.700702,-0.706666,0.556858,-0.712746,-0.683950,0.512850,-0.703929,,,,,,
323,2.691667,-24.351297,-17.985558,67.558220,-0.674324,0.508170,-0.702584,0.000355,-0.050755,-0.056242,-0.037863,0.948477,0.042138,0.044624,0.027206,0.914611,0.008617,0.011618,0.010657,0.819348,-0.631782,0.435300,-0.698025,-0.706972,0.566544,-0.709092,-0.683987,0.522688,-0.700677,,,,,,
324,2.700000,-23.753036,-18.305971,67.807114,-0.674390,0.517762,-0.699372,0.000374,-0.050755,-0.056242,-0.037863,0.944891,0.042138,0.044624,0.027206,0.901792,0.008617,0.011618,0.010657,0.796068,-0.631452,0.445092,-0.695339,-0.707426,0.576001,-0.705465,-0.684052,0.532223,-0.697358,,,,,,
325,2.708333,-23.598598,-17.765741,68.317230,-0.674319,0.526990,-0.696067,0.000377,-0.050755,-0.056242,-0.037863,0.938370,0.042138,0.044624,0.027206,0.924131,0.008617,0.011618,0.010657,0.810395,-0.631046,0.454541,-0.692533,-0.707559,0.585096,-0.701758,-0.684077,0.541362,-0.693963,,,,,,
326,2.716667,-23.428257,-17.445253,68.796577,-0.673986,0.535879,-0.692696,0.000386,-0.050755,-0.056242,-0.037863,0.939633,0.042138,0.044624,0.027206,0.922251,0.008617,0.011618,0.010657,0.803054,-0.630317,0.463641,-0.689551,-0.707574,0.593830,-0.698071,-0.683772,0.550204,-0.690524,,,,,,
327,2.725000,-22.877089,-17.989706,68.879257,-0.673591,0.544328,-0.689323,0.000375,-0.050755,-0.056242,-0.037863,0.948136,0.042138,0.044624,0.027206,0.893344,0.008617,0.011618,0.010657,0.778123,-0.629571,0.472242,-0.686469,-0.707532,0.602125,-0.694410,-0.683381,0.558678,-0.687157,,,,,,
328,2.733333,-22.368021,-18.407766,69.059341,-0.673078,0.552344,-0.685890,0.000392,-0.050755,-0.056242,-0.037863,0.941671,0.042138,0.044624,0.027206,0.905385,0.008617,0.011618,0.010657,0.782293,-0.628696,0.480495,-0.683371,-0.707278,0.610024,-0.690738,-0.682964,0.566560,-0.683626,,,,,,
329,2.741667,-21.886930,-18.742281,69.228889,-0.672465,0.559882,-0.682481,0.000387,-0.050755,-0.056242,-0.037863,0.933025,0.042138,0.044624,0.027206,0.924083,0.008617,0.011618,0.010657,0.785018,-0.627772,0.488258,-0.680305,-0.706839,0.617426,-0.687056,-0.682440,0.574011,-0.680155,,,,,,
330,2.750000,-21.604111,-18.770941,69.497322,-0.671576,0.566919,-0.679109,0.000378,-0.050755,-0.056242,-0.037863,0.932879,0.042138,0.044624,0.027206,0.922447,0.008617,0.011618,0.010657,0.779893,-0.626578,0.495474,-0.677232,-0.706211,0.624341,-0.683437,-0.681591,0.580997,-0.676734,,,,,,
331,2.758333,-21.243795,-19.002096,69.727493,-0.670428,0.573327,-0.675729,0.000387,-0.050755,-0.056242,-0.037863,0.932879,0.042138,0.044624,0.027206,0.922447,0.008617,0.011618,0.010657,0.779893,-0.625084,0.502103,-0.674104,-0.705298,0.630600,-0.679873,-0.680544,0.587331,-0.673287,,,,,,
332,2.766667,-20.966469,-19.272627,69.851059,-0.668949,0.579063,-0.672365,0.000413,-0.050755,-0.056242,-0.037863,0.930927,0.042138,0.044624,0.027206,0.933807,0.008617,0.011618,0.010657,0.787245,-0.623369,0.507995,-0.670868,-0.703990,0.636222,-0.676404,-0.679121,0.593020,-0.669902,,,,,,
333,2.775000,,,,,,,,,,,,,,,,,,,,-0.621391,0.513256,-0.667574,,,,-0.677405,0.598041,-0.666513,,,,,,
334,2.783333,,,,,,,,,,,,,,,,,,,,-0.619089,0.517859,-0.664306,,,,-0.675420,0.602452,-0.663129,,,,,,
335,2.791667,,,,,,,,,,,,,,,,,,,,-0.616665,0.521659,-0.661089,,,,-0.673218,0.606102,-0.659843,,,,,,
336,2.800000,,,,,,,,,,,,,,,,,,,,-0.613884,0.524764,-0.657947,,,,-0.670399,0.609201,-0.656721,,,,,,
337,2.808333,,,,,,,,,,,,,,,,,,,,-0.610710,0.527157,-0.654760,,,,-0.667378,0.611455,-0.653538,,,,,,
338,2.816667,,,,,,,,,,,,,,,,,,,,-0.607218,0.528764,-0.651472,,,,-0.664026,0.612999,-0.650394,,,,,,
339,2.825000,,,,,,,,,,,,,,,,,,,,-0.603520,0.529713,-0.648267,,,,-0.660309,0.613973,-0.647417,,,,,,
340,2.833333,,,,,,,,,,,,,,,,,,,,-0.599664,0.529886,-0.645066,,,,-0.656390,0.614150,-0.644477,,,,,,
341,2.841667,,,,,,,,,,,,,,,,,,,,-0.595400,0.529488,-0.641908,,,,-0.652130,0.613771,-0.641557,,,,,,
342,2.850000,,,,,,,,,,,,,,,,,,,,-0.590892,0.528381,-0.638796,,,,-0.647496,0.612703,-0.638754,,,,,,
343,2.858333,,,,,,,,,,,,,,,,,,,,-0.586089,0.526603,-0.635790,,,,-0.642685,0.610938,-0.636072,,,,,,
344,2.866667,-20.678226,-21.553255,69.555122,-0.627223,0.594663,-0.635658,0.000398,-0.050755,-0.056242,-0.037863,0.921647,0.042138,0.044624,0.027206,0.923084,0.008617,0.011618,0.010657,0.755927,-0.581068,0.524032,-0.632853,-0.662705,0.651547,-0.640653,-0.637507,0.608463,-0.633563,,,,,,
345,2.875000,-20.836279,-21.896086,69.305817,-0.621919,0.591306,-0.633203,0.000397,-0.050755,-0.056242,-0.037863,0.918601,0.042138,0.044624,0.027206,0.929601,0.008617,0.011618,0.010657,0.760091,-0.575911,0.520611,-0.629999,-0.657239,0.648223,-0.638520,-0.632209,0.605132,-0.631184,,,,,,
346,2.883333,-20.887358,-22.578785,68.766060,-0.616441,0.587150,-0.630911,0.000369,-0.050755,-0.056242,-0.037863,0.918601,0.042138,0.044624,0.027206,0.929601,0.008617,0.011618,0.010657,0.760091,-0.570724,0.516251,-0.627238,-0.651481,0.644249,-0.636578,-0.626781,0.600990,-0.629000,,,,,,
347,2.891667,-21.295319,-22.599173,68.499313,-0.610840,0.582218,-0.628706,0.000382,-0.050755,-0.056242,-0.037863,0.928171,0.042138,0.044624,0.027206,0.926477,0.008617,0.011618,0.010657,0.778758,-0.565398,0.511161,-0.624566,-0.645656,0.639419,-0.634739,-0.621144,0.596108,-0.626890,,,,,,
348,2.900000,-21.684776,-22.741949,68.134415,-0.605098,0.576518,-0.626673,0.000358,-0.050755,-0.056242,-0.037863,0.929991,0.042138,0.044624,0.027206,0.924035,0.008617,0.011618,0.010657,0.782107,-0.559984,0.505274,-0.622014,-0.639641,0.633823,-0.633095,-0.615351,0.590493,-0.624986,,,,,,
349,2.908333,-22.403402,-22.297989,67.965073,-0.599195,0.570191,-0.624835,0.000364,-0.050755,-0.056242,-0.037863,0.933425,0.042138,0.044624,0.027206,0.918044,0.008617,0.011618,0.010657,0.782879,-0.554427,0.498756,-0.619639,-0.633493,0.627629,-0.631708,-0.609371,0.584221,-0.623228,,,,,,
350,2.916667,-23.138990,-21.759611,67.789597,-0.593287,0.563151,-0.623197,0.000378,-0.050755,-0.056242,-0.037863,0.936186,0.042138,0.044624,0.027206,0.913389,0.008617,0.011618,0.010657,0.785521,-0.548930,0.491527,-0.617495,-0.627255,0.620726,-0.630472,-0.603374,0.577221,-0.621693,,,,,,
351,2.925000,-22.988495,-23.054497,67.025543,-0.587394,0.555383,-0.621708,0.000368,-0.050755,-0.056242,-0.037863,0.931693,0.042138,0.044624,0.027206,0.918444,0.008617,0.011618,0.010657,0.786312,-0.543371,0.483604,-0.615439,-0.620991,0.613126,-0.629434,-0.597560,0.569421,-0.620306,,,,,,
352,2.933333,-23.717125,-22.732292,66.741112,-0.581471,0.547028,-0.620387,0.000366,-0.050755,-0.056242,-0.037863,0.931013,0.042138,0.044624,0.027206,0.929651,0.008617,0.011618,0.010657,0.805391,-0.537878,0.475026,-0.613484,-0.614793,0.604852,-0.628600,-0.591481,0.561217,-0.619135,,,,,,
353,2.941667,-24.053398,-23.277180,66.049232,-0.575682,0.537888,-0.619283,0.000412,-0.050755,-0.056242,-0.037863,0.917802,0.042138,0.044624,0.027206,0.883333,0.008617,0.011618,0.010657,0.861925,-0.532686,0.465672,-0.611722,-0.608638,0.595971,-0.627991,-0.585939,0.551985,-0.618050,,,,,,
354,2.950000,-24.525043,-23.604200,65.466370,-0.570023,0.528253,-0.618300,0.000395,-0.050755,-0.056242,-0.037863,0.920371,0.042138,0.044624,0.027206,0.896002,0.008617,0.011618,0.010657,0.868705,-0.527529,0.455809,-0.610054,-0.602491,0.586510,-0.627559,-0.580235,0.542415,-0.617213,,,,,,
355,2.958333,-25.061258,-23.810555,64.960754,-0.564459,0.518061,-0.617497,0.000398,-0.050755,-0.056242,-0.037863,0.917926,0.042138,0.044624,0.027206,0.897319,0.008617,0.011618,0.010657,0.868387,-0.522442,0.445439,-0.608547,-0.596517,0.576445,-0.627304,-0.574599,0.532279,-0.616564,,,,,,
356,2.966667,-25.858507,-23.483673,64.605904,-0.559035,0.507376,-0.616863,0.000391,-0.050755,-0.056242,-0.037863,0.923368,0.042138,0.044624,0.027206,0.887297,0.008617,0.011618,0.010657,0.870681,-0.517527,0.434530,-0.607188,-0.590717,0.565878,-0.627243,-0.569070,0.521689,-0.616077,,,,,,
357,2.975000,-27.029943,-22.188717,64.693787,-0.553839,0.496212,-0.616324,0.000390,-0.050755,-0.056242,-0.037863,0.918468,0.042138,0.044624,0.027206,0.934663,0.008617,0.011618,0.010657,0.860263,-0.512786,0.423218,-0.605946,-0.585034,0.554747,-0.627288,-0.563662,0.510704,-0.615731,,,,,,
358,2.983333,-27.855583,-21.675470,64.368111,-0.548813,0.484696,-0.615933,0.000398,-0.050755,-0.056242,-0.037863,0.917051,0.042138,0.044624,0.027206,0.929378,0.008617,0.011618,0.010657,0.858567,-0.508340,0.411486,-0.604874,-0.579569,0.543328,-0.627433,-0.558494,0.499302,-0.615481,,,,,,
359,2.991667,-28.191767,-22.308460,63.610428,-0.544150,0.472817,-0.615726,0.000379,-0.050755,-0.056242,-0.037863,0.917252,0.042138,0.044624,0.027206,0.932239,0.008617,0.011618,0.010657,0.861139,-0.504263,0.399394,-0.603994,-0.574388,0.531619,-0.627772,-0.553761,0.487469,-0.615402,,,,,,
360,3.000000,-29.167709,-21.524759,63.271526,-0.539569,0.460658,-0.615595,0.000391,-0.050755,-0.056242,-0.037863,0.917064,0.042138,0.044624,0.027206,0.941268,0.008617,0.011618,0.010657,0.873387,-0.500372,0.386993,-0.603145,-0.569220,0.519635,-0.628244,-0.549084,0.475376,-0.615386,,,,,,
361,3.008333,-29.654049,-21.869093,62.617092,-0.535305,0.448154,-0.615572,0.000394,-0.050755,-0.056242,-0.037863,0.917064,0.042138,0.044624,0.027206,0.941268,0.008617,0.011618,0.010657,0.873387,-0.496727,0.374296,-0.602390,-0.564502,0.507216,-0.628750,-0.544649,0.462986,-0.615565,,,,,,
362,3.016667,-30.423759,-21.660931,62.154266,-0.531254,0.435475,-0.615618,0.000381,-0.050755,-0.056242,-0.037863,0.914488,0.042138,0.044624,0.027206,0.925219,0.008617,0.011618,0.010657,0.859423,-0.493271,0.361409,-0.601632,-0.559949,0.494647,-0.629436,-0.540513,0.450397,-0.615776,,,,,,
363,3.025000,-31.453506,-20.697571,62.014961,-0.527465,0.422636,-0.615685,0.000381,-0.050755,-0.056242,-0.037863,0.924839,0.042138,0.044624,0.027206,0.926583,0.008617,0.011618,0.010657,0.869182,-0.490057,0.348409,-0.600922,-0.555693,0.481906,-0.630129,-0.536614,0.437618,-0.615997,,,,,,
364,3.033333,-32.218662,-20.388401,61.596001,-0.523909,0.409747,-0.615785,0.000379,-0.050755,-0.056242,-0.037863,0.929184,0.042138,0.044624,0.027206,0.932585,0.008617,0.011618,0.010657,0.874988,-0.487120,0.335370,-0.600254,-0.551641,0.469092,-0.630842,-0.532937,0.424805,-0.616249,,,,,,
365,3.041667,-33.229279,-19.322632,61.469116,-0.520661,0.396849,-0.615891,0.000375,-0.050755,-0.056242,-0.037863,0.928595,0.042138,0.044624,0.027206,0.931882,0.008617,0.011618,0.010657,0.877139,-0.484506,0.322306,-0.599636,-0.547914,0.456272,-0.631572,-0.529540,0.411995,-0.616458,,,,,,
366,3.050000,-33.777832,-19.441790,60.859573,-0.517621,0.384087,-0.616012,0.000379,-0.050755,-0.056242,-0.037863,0.931403,0.042138,0.044624,0.027206,0.933865,0.008617,0.011618,0.010657,0.882032,-0.482115,0.309411,-0.599038,-0.544332,0.443586,-0.632231,-0.526386,0.399296,-0.616759,,,,,,
367,3.058333,-34.627560,-18.579754,60.635525,-0.514804,0.371455,-0.616100,0.000379,-0.050755,-0.056242,-0.037863,0.926636,0.042138,0.044624,0.027206,0.931620,0.008617,0.011618,0.010657,0.881054,-0.479974,0.296585,-0.598455,-0.541008,0.431062,-0.632835,-0.523403,0.386745,-0.617003,,,,,,
368,3.066667,-35.383430,-18.025066,60.311184,-0.512272,0.359043,-0.616180,0.000388,-0.050755,-0.056242,-0.037863,0.927223,0.042138,0.044624,0.027206,0.926078,0.008617,0.011618,0.010657,0.877501,-0.478096,0.284058,-0.597849,-0.537971,0.418690,-0.633463,-0.520720,0.374415,-0.617218,,,,,,
369,3.075000,-35.941872,-17.904993,59.842052,-0.509973,0.346888,-0.616199,0.000363,-0.050755,-0.056242,-0.037863,0.931531,0.042138,0.044624,0.027206,0.937174,0.008617,0.011618,0.010657,0.889761,-0.476394,0.271770,-0.597230,-0.535121,0.406627,-0.633991,-0.518378,0.362297,-0.617369,,,,,,
370,3.083333,-36.592579,-17.572739,59.506165,-0.507805,0.335100,-0.616174,0.000375,-0.050755,-0.056242,-0.037863,0.935662,0.042138,0.044624,0.027206,0.924991,0.008617,0.011618,0.010657,0.882243,-0.474811,0.259878,-0.596519,-0.532557,0.394841,-0.634493,-0.516026,0.350609,-0.617501,,,,,,
371,3.091667,-37.067081,-17.597683,59.063732,-0.505840,0.323636,-0.616084,0.000359,-0.050755,-0.056242,-0.037863,0.937624,0.042138,0.044624,0.027206,0.932977,0.008617,0.011618,0.010657,0.889665,-0.473349,0.248346,-0.595831,-0.530140,0.383427,-0.634898,-0.514012,0.339156,-0.617516,,,,,,
372,3.100000,-38.023689,-16.131176,59.267197,-0.504071,0.312612,-0.615961,0.000359,-0.050755,-0.056242,-0.037863,0.933078,0.042138,0.044624,0.027206,0.931088,0.008617,0.011618,0.010657,0.890092,-0.472078,0.237291,-0.595082,-0.528024,0.372348,-0.635270,-0.512090,0.328220,-0.617525,,,,,,
373,3.108333,-38.444057,-16.100544,58.821861,-0.502478,0.301972,-0.615822,0.000367,-0.050755,-0.056242,-0.037863,0.932806,0.042138,0.044624,0.027206,0.931926,0.008617,0.011618,0.010657,0.887587,-0.471043,0.226565,-0.594420,-0.525972,0.361785,-0.635542,-0.510401,0.317594,-0.617496,,,,,,
374,3.116667,-39.013592,-15.695362,58.596985,-0.501043,0.291821,-0.615585,0.000360,-0.050755,-0.056242,-0.037863,0.935440,0.042138,0.044624,0.027206,0.930472,0.008617,0.011618,0.010657,0.891094,-0.470093,0.216365,-0.593609,-0.524167,0.351604,-0.635757,-0.508847,0.307524,-0.617381,,,,,,
375,3.125000,-39.651260,-14.855759,58.521217,-0.499665,0.282209,-0.615276,0.000371,-0.050755,-0.056242,-0.037863,0.931362,0.042138,0.044624,0.027206,0.932237,0.008617,0.011618,0.010657,0.886713,-0.469246,0.206694,-0.592802,-0.522365,0.342033,-0.635838,-0.507360,0.297924,-0.617181,,,,,,
376,3.133333,-39.510227,-16.720318,57.402306,-0.498405,0.273132,-0.614893,0.000375,-0.050755,-0.056242,-0.037863,0.931362,0.042138,0.044624,0.027206,0.932237,0.008617,0.011618,0.010657,0.886713,-0.468380,0.197602,-0.591887,-0.520753,0.332973,-0.635830,-0.506064,0.288846,-0.616954,,,,,,
377,3.141667,-40.347385,-14.851596,57.798973,-0.497260,0.264622,-0.614470,0.000362,-0.050755,-0.056242,-0.037863,0.936942,0.042138,0.044624,0.027206,0.924528,0.008617,0.011618,0.010657,0.882274,-0.467728,0.189022,-0.591082,-0.519255,0.324454,-0.635734,-0.504773,0.280423,-0.616586,,,,,,
378,3.150000,-40.410198,-15.744613,57.105026,-0.496179,0.256716,-0.614022,0.000375,-0.050755,-0.056242,-0.037863,0.933229,0.042138,0.044624,0.027206,0.928620,0.008617,0.011618,0.010657,0.887796,-0.467011,0.181116,-0.590232,-0.517829,0.316569,-0.635594,-0.503675,0.272492,-0.616231,,,,,,
379,3.158333,-40.961605,-14.604186,57.310875,-0.495231,0.249361,-0.613611,0.000355,-0.050755,-0.056242,-0.037863,0.930245,0.042138,0.044624,0.027206,0.929924,0.008617,0.011618,0.010657,0.887774,-0.466422,0.173702,-0.589516,-0.516620,0.309205,-0.635432,-0.502631,0.265207,-0.615876,,,,,,
380,3.166667,-41.412991,-13.839722,57.296478,-0.494364,0.242547,-0.613163,0.000369,-0.050755,-0.056242,-0.037863,0.932799,0.042138,0.044624,0.027206,0.932427,0.008617,0.011618,0.010657,0.892648,-0.466000,0.166820,-0.588753,-0.515440,0.302436,-0.635248,-0.501640,0.258412,-0.615479,,,,,,
381,3.175000,-41.369034,-15.153550,56.545444,-0.493517,0.236278,-0.612635,0.000351,-0.050755,-0.056242,-0.037863,0.932890,0.042138,0.044624,0.027206,0.930400,0.008617,0.011618,0.010657,0.887127,-0.465347,0.160616,-0.587818,-0.514351,0.296124,-0.635022,-0.500832,0.252126,-0.615059,,,,,,
382,3.183333,-41.959076,-13.753873,56.922649,-0.492788,0.230488,-0.612115,0.000353,-0.050755,-0.056242,-0.037863,0.932225,0.042138,0.044624,0.027206,0.934357,0.008617,0.011618,0.010657,0.892751,-0.464924,0.154807,-0.587022,-0.513439,0.290309,-0.634753,-0.499982,0.246378,-0.614563,,,,,,
